,name
0,益气止血
1,化斑止血
2,舒经通络
3,攻补兼施
4,清热通经脉
5,补骨强筋
6,神气养阴
7,益胃生津
8,排脓消痈
9,祛腐生肌
10,养胃健脾
11,僻恶除秒
12,除湿散毒
13,降逆气
14,活血止痛主治脚气肿满
15,奔豚
16,霍乱
17,心腹胀痛
18,风湿毒疮
19,烧烫伤降血压
20,产后虚弱
21,月经不调
22,老年多尿
23,小儿遗尿
24,虚热咳嗽
25,盗汗
26,自汗
27,带下
28,产妇乳汁不足
29,无名毒疮
30,活血祛
31,主治闭经
32,风湿关节痛
33,疾
34,陶喉咽喉肿痛
35,淋证
36,尿血
37,泄浊
38,通利关节主治风湿疼痛
39,筋骨李痛
40,淋浊
41,泄泻
42,梅毒
43,痈肿
44,疮癣
45,汞中萍
46,活血止痛主治风湿痹痛
47,皮肤湿疹济癣
48,钩出病
49,蛳虫病
50,蜕虫病
51,蛇虫咬伤等
52,杀山止痒
53,活血止痛主治关节疼痛
54,解毒消痈
55,主治肠痈
56,乳痛
57,痛经
58,经闭
59,风湿痹痛
60,虫积腹痛
61,行瘀消肿主治吐血
62,血
63,妇女崩漏
64,疮疡肿痛
65,肝炎
66,肾炎
67,清肝利胆
68,祛风湿
69,消炎止痛主治湿热黄煊
70,风湿骨痛
71,散
72,消肿解毒主治跌打损仿
73,外价出血月经不调
74,子宫脱垂
75,风湿疼痛
76,祛风明目主治肺炎
77,消化不良
78,疙疾
79,夜盲
80,疮疡
81,温中止痛
82,利尿主治院腹冷痛
83,食积气胀
84,反胃呕吐
85,暑湿吐泻
86,寒疝腹痛
87,哮喘
88,寒湿水膨
89,小便不利
90,小便浑浊
91,牙痛
92,寒湿痹痛
93,止带
94,止痒主治前漏
95,特血
96,敛疮主治劳伤
97,调血脉
98,止崩漏
99,主治腰背酸痛
100,肢节楼痹
101,跌扑创伤
102,损筋折骨
103,胎动漏红
104,血前
105,遗精
106,痛疯疮肿
107,疗癣主治烟虫病
108,钩虫病
109,烧虫病
110,阴道滴虫病
111,价疮
112,头癣
113,活血消肿主治风湿关节痛
114,黄煊
115,腰痛
116,咳嗽痰多
117,抢疡肿毒
118,消肿解毒
119,接骨
120,解表主治感冒
121,胃气痛
122,胸胁痛
123,风湿性关节炎
124,腰腿痛
125,瘊疾
126,劳仿吐血
127,疮布肿痛
128,外价山血
129,解毒消肿主治吐血
130,创竹出血
131,黄痘
132,水肿
133,感胃
134,咽痛喉痹
135,痔疮
136,丹毒
137,小儿街积
138,凉血止痢
139,除湿通淋主治热毒泻
140,湿热淋证
141,尿闭
142,赤白带下
143,痔血
144,疮疡痛布
145,游
146,湿癣
147,白秃
148,I叶清热解毒
149,消肿敛疮
150,生肌主治州疯
151,肿毒
152,疥癣
153,烧烫竹
154,黄水疮根清热解蒂
155,散疯牛肌主治风湿痹痛
156,痰饮
157,擦病
158,急性结膜炎
159,淋巴结核
160,狂大咬伤
161,烧烫伤
162,止痢
163,止泻主治腹胀痛
164,白痢
165,咳嘴
166,解毒主治黄痘
167,砂淋
168,白浊
169,疗疮肿毒
170,截疤主治外感发热
171,湿热黄疽
