,name
0,冷经血虚紫斑
1,热经火旺紫斑
2,冷经风湿性关节炎
3,热经风湿性关节炎
4,热湿互结类风湿
5,热经气滞血瘀美风湿
6,冷经東湿阻滞类风湿
7,热经痿症
8,冷经痿症
9,气虚汗症
10,血虚汗症
11,热毒汗症
12,热痼疽庭
13,冷病疽症
14,气血两虚疽症
15,嘈杂热心痛
16,嘈杂冷心痛
17,嘈杂血虚痼
18,热经燥卵伤肺
19,肺家热症咳嗽
20,肺家寒毒咳嗽
21,肺家风鮮热毒咳嗽
22,肺家痰湿寒毒咳嗽
23,热经热毒咳嗽
24,冷病内损咳嗷
25,冷经风来咳漱
26,热经风热咳嗽
27,冷痞风寒感冒
28,热经风热感冒
29,冷病寒喘
30,痰湿咳喘
31,气虚欢喘
32,热经风热咳血
33,热经热毒咳血
34,气亏虚劳
35,血亏虚夢
36,胸痛
37,肺痈初起
38,肺痈、肺肿
39,肺痈成脓
40,热经胃痛
41,冷经胃痛
42,大肠热疾
43,早期肠痛
44,晩期肠痛
45,热经腹痛
46,冷经腹痛
47,热经腹泻
48,冷经腹泻
49,冷经俗象
50,热经俗象
51,热病呕吐
52,冷痔呕吐
53,热经煜热吐血
54,热经热毒吐血
55,热经吐酸水
56,冷病吐酸水
57,热经打隔
58,冷经打隔
59,冷经便血
60,热经便血
61,热经便秘
62,冷经气血两亏便秘
63,热经黄疸
64,冷经簧疸
65,热经水朦病
66,冷经水朦病
67,冷经气虚痛肾
68,热经风热痛肾
69,热经湿热痛肾
70,热经尿路瘪痛
71,冷经尿路疼痛
72,热经尿血
73,冷经尿血
74,遗尿
75,热经小便困难
76,冷经小便国碓
77,尿甜症
78,冷病水湿瘟疾
79,热病水湿瘟蒙
80,热经水肿
81,冷病气血两虚水肿
82,热病血虚心慌
83,冷病气血两虚心慌
84,冷经头痛
85,热经头痛
86,偏头痛
87,前额头痛
88,热经头昏目眩庭
89,冷经血虚目眩症
90,冷经气虚头备目眩建
91,冷经華庭
92,热经晕症
93,热銓胁痛
94,冷经胁痛
95,冷病血虚健忘
96,热病心血受损健忘
97,热经忧郁
98,冷经忧郁
99,多睡病
100,热经失瞩
101,冷经失眠
102,抖症
103,热经中邪
104,冷病中邪
105,妇人热病经来花癲
106,妇人热病心神不定花癫
107,热经煤气化火
108,热经燥邪伤胃
109,冷经燥湿伤肺
110,冷病内伤血虚发烧
111,冷热并病内伤气虚发烧
112,热病内伤水液发觉
113,热痞内伤经脉发蛛
114,热病内伤血瘀发烧
115,热病内伤湿毒发烧
116,热经红白痢
117,热经壽痢
118,冷经下痢
119,小儿痞子
120,冷热并病串串咳
121,热经串串咳
122,串串咳恢复期
123,热经衬耳癢
124,热经癢書窜耳
125,水•痘輕症
126,水痘重型
127,丹毒
128,血虚痹病
129,肺、肾两虚痹病
130,气血两虚肺痹
131,肺痹胸痛
132,九子疡早期
133,九子疡中期
134,九子疡晚期
135,蜕虫病
136,肠細虫
137,月旦道蛔虫
138,妇人热经肝火旺盛龙癫
139,妇人热病疫迷心窍花癲
140,便血
141,热经水湿热毒便血
142,牙出血
143,虚火牙出血
144,肺热出鼻血
145,胃热鼻出血
146,肝火旺、鼻出血
147,热毒咳血
148,肝火咳血
149,胃热吐血
150,肝火吐血
151,热经风热青紫血斑
152,热经血热青紫血斑
153,冷经气虚者紫血斑
154,冷经血虚青紫血斑
155,冷经气虚紫斑
156,冷经口眼歪斜
157,弯弓惊
158,看地惊
159,小儿慢惊风
160,神经性头痛
161,肾虚耳鸣
162,手脚抽搐
163,语言错乱
164,头昏目眩症
165,热经头昏目眩症
166,冷病血虚目眩症
167,冷经气虚头昏目眩症
168,热经发烧
169,小儿发热
170,高烧不退
171,怕冷高烧
172,发烧
173,烧伤
174,发热头痛
175,瘟热病
176,小儿燥火
177,燥火损伤肺气
178,燥火损伤肠胃
179,燥火燥湿
180,半边经
181,心慌
182,肺家咳嗽症
183,肺家热证咳嗽
184,肺家风邪热毒咳嗽
185,耳鸣·耳聋
186,热经耳鸣·耳聋
187,冷经耳鸣·耳聋
188,肠漏
189,脐漏
190,热经脐带溃烂（Baix daib qub mak ghab不独秋木嘎）
191,热病脐流血（Bak duf iol hxangd部独洛象）
192,热病脐部流水（Buk duk dlax部独酒）
193,冷经脐带突出（Buk duk hvib部独希）
194,汗症
195,气虚出汗
196,血虚出汗
197,虚热出汗
198,热毒出汗
199,气血两亏症
200,气虚水肿
201,水肿血虚
202,气虚咳喘
203,气血两虚气瘊
204,血虚咳嗽
205,吐血
206,热经湿热吐血
207,紫斑
208,尿血
209,青紫·血斑
210,冷经气虚青紫血斑
211,血虚健忘
212,热经心血受损健忘
213,热经胃热牙出血
214,冷经血虚牙出血
215,血瘀
216,热病小肚血瘀
217,热病血瘀成脓
218,冷病瘀阻经络
219,冷病气血瘀滞
220,冷病瘀阻血脉
221,冷病血脉瘀阻
222,冷病气虚血瘀
223,出血症
224,茵笨洛象冷经内伤便血
225,布兜凯迷洛象胃热牙出血
226,呼勒普凯芮洛象肺热出鼻血
227,凯洛沃洛象热毒咳血
228,低血压
229,高脂血症
230,红丝疔
231,鼻出血
232,热经风热鼻出血
233,热经鼻出血
234,腹泻
235,水肿
236,冷经腰痛水肿
237,水湿内停
238,肾积水
239,皮肤痈子
240,皮肤痒疹
241,肩周炎
242,风毒感冒
243,冷病风寒感冒
244,风热烂喉務
245,热经烂喉痧
246,热毒泛血烂喉痧
247,白斑病
248,风邪疙瘩
249,风湿性关节炎
250,外感咳嗽
251,冷经风寒咳嗽
252,皮肤风疹
253,皮肤瘙痒
254,带状疱疹
255,兰蛇缠腰
256,兰蛇挂膀
257,兰蛇钻心
258,流眼泪
259,类风湿
260,热经气滞血瘀类风湿
261,冷经寒湿阻滞类风湿
262,小儿类风湿
263,风毒蒙冲净
264,寒毒蒙冲净
265,水湿蒙冲净
266,血虚蒙冲净
267,小儿支气管炎
268,冷经支气管炎
269,热经支气管炎
270,支气管炎
271,腹痛
272,湿疹
273,热经湿疹
274,冷经湿疹
275,面部湿疹
276,热湿头晕症
277,冷经晕症
278,湿瘟
279,热病水湿瘟疾
280,潮热
281,泌尿系感染
282,热经尿路疼痛
283,湿阻疼痛
284,阴囊湿疹
285,燥热
286,热经燥邪伤肺
287,热经燥气化火
288,火毒伤皮
289,火毒伤血
290,火毒攻心
291,热毒烫伤
292,月经不调
293,热病妇人经水不调
294,冷病妇人经水不调
295,经水来潮错后
296,冷热并病妇人经水错后
297,冷病经水错后
298,月经色淡夹块
299,经水来潮提前
300,热病妇人经水提前
301,冷病妇人经水提前
302,经水过多
303,冷病经水过多
304,热病经水过多
305,经水过少
306,冷病经水过少
307,热病经水过少
308,妇人断经又来
309,妇人冷病血虚断经又来
310,肠胃虚弱经水又来
311,妇人湿热断经又来
312,妇人湿毒断经又来
313,月经鼻帼
314,热病月经鼻衄
315,冷病月经鼻衄
316,妇人经水大下
317,热病妇人经水大下
318,冷病妇人经水大下
319,经来便血
320,月经发烧
321,热病月经发烧
322,冷病月经发烧
323,经来浮肿
324,冷病经来浮肿
325,热病经来浮肿
326,妊娠浮肿
327,经来风疹块
328,冷病月经风疹块
329,热病月经风疹块
330,经来腹泻
331,经来身痛
332,冷病月经身痛
333,热病月经身痛
334,妇人经水来潮头痛
335,热病经来头痛
336,冷病经来头痛
337,月经情志异常
338,经水来潮肚痛
339,热病经水来潮肚痛
340,冷病经水来潮肚痛
341,经期口腔溃疡
342,冷病经期口舌生疮
343,热病经期口舌生疮
344,闭经
345,冷病妇人经水不来
346,热病妇人经水不来
347,怀崽呕吐
348,冷经怀孕呕吐
349,热经怀孕呕吐
350,怀崽小便不利
351,孕妇发晕症
352,怀崽贫血
353,产后身痛
354,产后风寒身痛
355,养傣后气血两虚身痛
356,产后恶露不断
357,冷经血虚恶露不断
358,热经恶露不断
359,产后多汗
360,养傣气虚多汗
361,养傣虚热多汗
362,产后小便异常
363,热病小便异常
364,冷病小便异常
365,小产
366,冷病气虚血虚小产
367,冷病肾虚小产
368,热经血热小产
369,怀崽痛肚
370,冷病怀孕痛肚
371,热病怀崽痛肚
372,产后干血捞
373,冷病养傣伤血
374,养傣伤己
375,流产出血
376,冷经流产出血
377,热经流产出血
378,产后流血
379,产后浮肿
380,产后头晕症
381,气血两虚头晕
382,快经血瘀头晕症
383,产后肚痛
384,养傣气血两虚肚痛
385,热经血瘀挟寒肚痛
386,产后便秘
387,产后发烧
388,热经气血两虚发烧
389,热经外感邪毒发烧
390,热经血热发烧
391,产后低烧虚弱
392,产后衣胞不下
393,妇人不孕
394,冷经妇人不孕症
395,热经不孕症
396,白带过多症
397,冷病血虚带下过多
398,热病血虚白带过多
399,冷病黄白带下
400,白带过少症
401,月经期乳房胀痛
402,热病月经期乳房胀痛
403,冷病月经期乳房胀痛
404,妇人阴痒
405,热经妇人外邪阴痒
406,热经妇人瘙痒
407,落尿脖
408,冷病气虚子宫脱出
409,冷病血虚子宫脱出
410,乳房长结
411,气滞血瘀乳房长结
412,血脉失调乳房长结
413,乳房红肿
414,乳汁自出
415,冷经乳汁自出
416,热经乳汁自出
417,缺乳
418,冷经气血两虚乳汁不来
419,热经乳汁不来
420,更年期骨质疏松症
421,肠胃虚弱绝经骨质疏松
422,气血两虚绝经骨质疏松
423,血虚绝经骨质疏松
424,更年病
425,妇人血虚老年多样病
426,妇女气虚老年多样病
427,产后骨节疼痛
428,冷经产后身疼
429,热经养傣后身疼
430,妇人小肚痛
431,热经妇人小肚疼痛
432,冷经妇人小肚疼痛
433,阴疮
434,热经伐僵点
435,冷经伐僵点
436,妇人黄雀斑
437,急性乳腺炎
438,经来眩晕
439,热病经来眩晕
440,冷病经来眩晕
441,妇男遗精症
442,妇男冷病遗精
443,热病遗精
444,妇男早泄
445,热病妇男早泄
446,冷病妇男早泄
447,慢经妇男摆白
448,妇男阳痿
449,热经妇男阳痿
450,冷经妇男阳痿
451,妇男尿血
452,妇男热毒尿血
453,妇男湿热尿血
454,妇男气血两虚尿血
455,肾虚
456,小儿感冒
457,小儿风热感冒
458,小儿风寒感冒
459,小儿贫血
460,小儿肠胃虚弱贫血
461,小儿气血两虚贫血
462,小儿癢疱
463,小儿冷经吼疱
464,小儿热经吼疱
465,小儿咳嗽
466,小儿外伤咳嗽Ghab hsongb hvib ait ngol嘎伤格按哦
467,小儿外伤，风寒咳嗽jent seil ait ngol英赊按哦
468,小儿外伤，风热咳嗽jent dul hleib ait ngol英都输按哦
469,小儿内损咳嗽Did yens pit niangs ait ngol抵英遍仰按哦
470,小儿内损肺热咳嗽Hsongb nais pob mongb kaib ait ngol松勒普蒙凯按哦
471,小儿内损痰湿咳嗽Ait ngol hxeb按嘎漠
472,小儿内损血虚咳嗽Hxangb xus ait ngol象休按哦
473,小儿内损气虚咳嗽Bongt ax vas ait ngol笨阿乌按哦
474,小儿鹅口疮
475,热毒鹅口疮
476,胃热鹅口疮
477,湿热鹅口疮
478,小儿口疮
479,婴儿马牙症
480,热经马牙症
481,冷经马牙症
482,小儿痛肚
483,冷经痛肚
484,食积痛肚
485,热邪肚痛
486,虫积痛肚
487,小儿汗症
488,小儿虚弱汗症
489,气血不调汗症
490,气血两虚汗症
491,走猴胎
492,食积（陇阿洛 Nongx ax lol ghax）
493,喂养不当，营养不良
494,小儿夜盲症
495,虫积（岗龚仰洛 Gangb jongb niangb not）
496,小儿厌食、偏食
497,气虚厌食、偏食
498,血虚厌食、偏食
499,小儿浮肿
500,热经小儿浮肿
501,冷经小儿浮肿
502,初生儿厚皮症
503,冷邪厚皮症
504,冷经气虚血少厚皮症
505,小儿泻肚
506,热经伤食泻肚
507,湿热泻肚
508,冷经风寒泻肚
509,冷病虚弱泻肚
510,小儿夜哭
511,冷病肠胃虚弱夜哭
512,冷病血虚夜哭
513,冷病小儿中邪夜哭
514,热经血热夜哭
515,小儿脱发
516,婴儿吐奶
517,婴儿热经吐奶
518,婴儿冷经吐奶
519,小儿停食
520,奶积停食
521,五谷停食
522,小儿发烧
523,小儿风疹
524,小儿黄疸
525,小儿湿疹
526,小儿腹泻
527,小儿夜尿
528,疝气
529,冷经疝气
530,热经疝气
531,婴儿胎黄
532,热经婴儿胎黄
533,冷经婴儿胎黄
534,小儿流口水
535,小儿遗尿
536,扁桃体炎
537,小儿关节肿痛
538,水痘
539,水痘轻症
540,腮腺炎
541,热经衬耳癀
542,热经癀毒窜耳
543,百日咳
544,小儿疔子
545,流行性脑脊髓膜炎
546,痢疾
547,热经毒痢
548,火眼
549,风毒火眼
550,热毒火眼
551,红眼病
552,淋病
553,热经淋病
554,冷经淋病
555,黄疸
556,冷经黄疸
557,肝炎
558,手脚癣
559,甲癣
560,捞病
561,Hxangd xus gos jab象休稿痂（血虚痨病）
562,Hfud nais pub ax maix Ves·Laib diuf ax miax Ves ghax gos jab封勒普阿迈雾·乃丢阿迈欧稿痂（肺、肾两虚痨病）
563,Bongt hxangd Xus·gos jab笨象休·稿痂（气血两虚肺痨）
564,肺勝胸痛
565,九子疡
566,小儿肺结核
567,冷经聂嘎稿痂
568,冷经气血两虚稿痂
569,水臓病
570,热经水臌病
571,冷经水臌病
572,打摆子
573,胃痛
574,反胃
575,吐酸水
576,慢性消化不良
577,肚肠疼痛
578,肚肠疼痛早期
579,肚肠疼痛晚期
580,打嗝
581,热病打嗝
582,冷病打嗝
583,嘈杂症
584,嘈杂热心痛（Mongb dliud kiad蒙秀凯）
585,嘈杂冷心痛（Hongb dliud seil蒙秀赊）
586,嘈杂血虚痛
587,便秘
588,呕吐
589,冷病呕吐
590,小便困难
591,冷经小便困难
592,骨折
593,骨折Lod hsongd骼冲又称Dus hsongd都冲
594,伤筋Los hxend骼兴，又称yens hxend英筋
595,脱臼Shad khangd qut沙康旧
