,name
0,水牛角粉
1,黄茂
2,红参
3,轮环藤根
4,桑枝
5,海桐皮
6,八月扎
7,全蝎
8,山葡萄
9,岩川萼
10,制草乌
11,黑故子
12,糯稻根
13,夜寒苏
14,子午莲
15,浮小麦
16,穿山甲
17,黄葵
18,野芝麻
19,水芹
20,青牛胆
21,扛板归
22,酒曲
23,蔬白
24,万年养
25,水灯草
26,杉木
27,一串红
28,土牛膝
29,土茯苓
30,土荆芥
31,大叶醉鱼草
32,大血滕
33,小花清风藤
34,小果蔷薇
35,小鱼眼菊
36,山鸡椒
37,山梅
38,川莓
39,川续断
40,广布野豌豆
41,飞龙掌血
42,马兰
43,马齿苋
44,马桑
45,中华秋海棠
46,中华常春藤
47,中国族节花
48,乌头
49,乌蕨
50,云实
51,云南勾儿茶
52,云南著
53,云南鼠尾草
54,五岭细辛
55,风仙花
56,凤尾蕨
57,化香树
58,天门冬
59,天胡蔓
60,天葵
61,心叶双蝴蝶
62,无花果
63,月季
64,木槿
65,毛大丁草
66,毛莨
67,水烛
68,水黄花
69,水朝阳
70,水蜈蜓
71,水艺
72,火棘
73,牛皮消
74,牛至
75,牛蒡
76,车前
77,长节耳草
78,风轮菜
79,丝瓜
80,半夏
81,头花蓼
82,对叶百部
83,尼泊尔老鹤草
84,尼泊尔酸模
85,打破碗花花
86,玉叶金花
87,玉蜀黍
88,白花曼陀罗
89,白茅
90,白筋
91,石松
92,石楠滕
93,石蒜
94,石榴
95,艾纳香
96,龙芽草
97,华泽兰
98,华钩藤
99,吉祥草
100,吊石苣苔
101,地果
102,多花黄精
103,有齿鞘柄木
104,朱砂根
105,竹叶椒
106,红花龙胆
107,西南杠柳
108,西域青荚叶
109,过路黄
110,阴地蕨
111,吴茱萸
112,庐山石韦
113,忍冬
114,杏叶防风
115,杜鹃兰
116,杠板归
117,皂荚
118,荒荽
119,苎麻
120,百部
121,白花蛇舌草
122,蒲公英
123,金银花
124,白花前胡
125,十大功劳
126,折耳根
127,矮地茶
128,瓜萎
129,射干
130,麦冬
131,前胡
132,一朵云
133,牛莠子
134,鹅不食草
135,枇杷叶
136,杏仁
137,苏叶
138,木姜子
139,制半夏
140,紫莞
141,紫苏
142,桔梗
143,茯苓
144,苕叶细辛
145,石韦
146,蜂蜜
147,岩白菜
148,鱼腥草
149,刺桑
150,紫背天葵
151,酢酱草
152,山紫菟
153,白芍
154,鹿衔草
155,假紫菟
156,桑叶
157,薄荷
158,地骨皮
159,沙参
160,梔子
161,紫菟
162,荆芥
163,瓜篓
164,果上叶
165,蜘蛛香
166,鱼鳏串
167,虎耳草
168,小远志
169,厚朴
170,铁筷子
171,麻黄
172,八爪金龙
173,陈皮
174,牛毛毡
175,徐长卿
176,阎王刺
177,菊花
178,忍冬藤
179,白马骨
180,头晕药
181,生姜
182,葱
183,四块瓦
184,辣蓼
185,黄荆条
186,防风
187,鱼輙串
188,葛根
189,水螟蚣
190,马鞭草
191,野菊花
192,贯众
193,兔儿风
194,桑白皮
195,银杏
196,炙枇杷叶
197,白芥子
198,旋覆花
199,胆南星
200,党参
201,干姜
202,细辛
203,鸡失藤
204,百合
205,桃仁
206,紫蒐
207,白薇
208,山药
209,小蓟
210,大蓟
211,野油菜
212,仙鹤草
213,旱莲草
214,白茅根
215,夏枯草
216,连钱草
217,芦根
218,银花
219,连翘
220,竹叶
221,三匹风
222,白及
223,水三七
224,岩豆工豆
225,阳雀花根
226,鳖甲
227,茵仁米
228,桂枝
229,血人参
230,扁豆
231,柴胡
232,棉花根
233,茜草
234,桑甚
235,黄精
236,三枝茶
237,地米参
238,何首乌
239,吴萸
240,八角莲根
241,五香血藤
242,香附
243,苦楝
244,乌药
245,地苦胆
246,三颗针
247,红藤
248,半枝莲
249,律草花
250,败酱草
251,紫花地丁
252,白毛夏枯草
253,茂仁米
254,见血飞
255,千里光
256,水冬瓜根皮
257,苦芥头
258,养菜
259,马蹄金
260,土大黄
261,鸡蛋壳
262,青藤香
263,隔山消
264,水黄连
265,穿心莲
266,乌药煎水
267,黄苗
268,良姜
269,路路通
270,委陵菜
271,苦养头
272,地榆
273,石菖蒲
274,土三七
275,蕾香
276,红花
277,一支黄花
278,皂角刺
279,黄芷
280,香樟根
281,山乌龟
282,青木香
283,太子参
284,花椒
285,木香
286,马齿苑
287,刺梨根
288,石榴皮
289,红糖
290,大蒜
291,白酒
292,白糖
293,粟壳
294,骚羊古
295,山楂
296,麦芽
297,水葵花
298,竹茹
299,三棱
300,莪术
301,小种三七
302,七叶莲
303,赤芍
304,阳雀花
305,土鳖虫
306,糯米团
307,生姜汁
308,黄连
309,土人参
310,石斛
311,龙胆草
312,山枝茶
313,卷柏
314,蒲黄
315,紫珠草
316,栀子
317,铁扫帚
318,玉竹
