,name
0,咳嗽
1,痰液色黄
2,痰液黏稠
3,痰多
4,痰液色白清稀
5,咽痛
6,痰中带血
7,喉痒
8,连声作呛
9,痰液粘稠
10,气急
11,痰液白色清稀
12,发烧
13,头痛
14,流清涕
15,喘息
16,痰白色
17,无汗
18,喘咳
19,怕冷
20,喘促
21,喉中有鼾声
22,痰中夹血
23,咳血
24,气短自汗
25,少气懒言
26,腰膝酸软
27,面色苍白
28,头晕
29,心慌
30,胸痛
31,胸闷
32,咳痰
33,面红
34,痰液腥臭
35,出汗
36,盗汗
37,反酸
38,吐清水
39,腹痛
40,呕吐
41,腹胀
42,右下肚肠疼痛
43,恶心
44,右下腹疼痛
45,皮肤隆起
46,腹部疼痛
47,恶食
48,时痛时止
49,泻泄
50,肠鸣
51,大便次数增多
52,便清稀
53,肠鸣即泻
54,食后4小时以上反胃
55,口吐清水
56,吐后舒适
57,反胃
58, 恶心
59,进食即吐
60,吐血
61,大便黑色
62,口苦
63,心 烦
64,口吐酸水
65,不停打嗝
66,声音洪亮
67,打嗝不停
68,声音较为缓和
69,便血
70,大便色黑
71,血色紫黑色
72,排便困难
73,大便干结
74,皮肤发黄
75,小便发黄
76,眼珠发黄
77,全身发黄
78,肚大
79,青筋显露
80,下肢水肿
81,不能平卧
82,全身浮肿
83,肚大腹水
84,腹水
85,气短无力
86,腰痛
87,眼皮水肿
88,怕风
89,全身水肿
90,肢皮肤发亮
91,小便疼痛
92,尿急
93,小便次数多
94,腰酸
95,尿中有血
96,小便时热辣刺痛
97,尿中带血
98,梦中尿液自行排出
99,排尿困难
100,尿少
101,无力排尿
102,吃的多
103,饿得快
104,全身肌肉发紧
105,酸痛
106,大便清稀
107,身热
108,食后发烧
109,两下肢水肿
110, 腰腹酸重
111,水肿
112,头昏
113,呼吸急促
114,气短
115,头晕胀痛
116,夜寐不宁
117,头挚痛
118,头灼痛
119,头胀痛
120,一侧头痛
121,耳鸣
122,颜面抽筋
123,前额头痛
124,不思睡眠
125,目眩
126,看物转动
127,想吐
128,不能站立
129,头晕不能站立
130,胁肋疼痛
131,走窜不定
132,肋胁隐痛
133,健忘
134,失眠
135,神倦
136,善忘
137,精神不振
138,时时叹息
139,暧气
140,神志恍惚
141,悲忧啼哭
142,久睡不醒
143,醒后又睡
144,失眠多梦
145,通夜不能入睡
146,夜不易入睡
147,肢冷
148,心烦
149,发抖不能自制
150,语言不清
151,拿物不稳
152,高烧
153,大汗
154,昏睡
155,四肢抽搐
156,缩手缩脚
157,胡言乱语
158,哭笑无常
159,心神不定
160,发惊
161,发怒
162,大声大叫
163,不知羞耻
164,不知冷热
165,先大便后来血
166,大便成黑色
167,下血鲜红
168,肛门灼热
169,量多
170,血色淡
171,齿龈出血
172,血色鲜红
173,牙齿出血
174,肿痛
175,鼻出血
176,鼻腔干燥
177,色鲜红
178,烦躁易怒
179,量多，
180, 吐血
181,心烦多怒
182,下肢和下半身青紫血斑
183,大小便带血
184,发热
185,皮肤瘀点
186, 皮肤青紫
187,反复发作
188,四肢无力
189,青紫血斑下肢最多
190,紫斑多发生于下肢
191,妇人多见
192,色紫暗淡
193,全身无力
194,肌肤发热
195,便秘
196,口渴
197,尿黄
198,肢体冷痛
199,肢体麻木
200,关节红肿
201,关节疼痛
202,肌肉消瘦
203,骨节活动不便
204,面色痿黄
205,体倦无力
206,自行出汗
207,汗出黏稠
208,红肿
209,疼痛
210,化脓
211,肿块破溃
212,脓液稀少
213,邪毒不化
214,局部肿胀
215,疼痛轻微
216,吐酸水
217,似饿非饿
218,胸口嘈杂
219,食后饱胀
220,嘈杂
221,胸口辣刺
222,咽喉干燥
223, 头痛
224,咳喘
225,无痰
226,起病慢
227,头昏眼花
228,内伤
229,口干
230,胸胁胀闷
231,易怒
232,身背疼痛
233,面色萎黄
234,便脓血
235,泻痢脓血
236,肚痛
237,全身出疹子
238,咽喉肿痛
239,耳下肿胀疼痛，发烧
240,耳下浮肿
241,发烫
242,水疱
243,红色斑疹
244,丘疹
245,水疱混浊
246,皮肤出现疹子
247,干咳
248,形体消瘦
249,脸红潮热
250,潮热
251,人体消瘦
252,全身消瘦
253,淋巴结肿大
254,串珠增多增大
255,皮色暗红
256,脓肿溃烂
257,肛门瘙痒
258,蛻虫爬动
259,右上腹剧烈疼痛
260,恶心呕吐
