id,name,miaoName,reason,describe
R1,肺家咳嗽症,封勒普?纳拉,风毒、热毒、寒毒侵犯人体，损伤气血，血脉不通，气壅不畅，则咳，则喘，邪 毒化热则痰多。,"肺家咳嗽症,类似中医外感病的咳嗽病症，西医的急、慢性支气管炎、肺气肿、肺源性心脏病等 所引起的咳嗽、喘息、呼吸不畅等。"
R2,内损咳嗽症,吉仰英?案沃,风热湿毒侵入人体，在原来内损疾病的基础上产生本次咳嗽，毒邪犯肺， 损伤气血。气滞血热，上逆咳嗽，痰黏稠难咳，重者痰中带血。,吉仰英?案沃，汉语译为内损咳嗽。苗医认为在本次咳嗽未发生前，人体曾经受到外界损伤 遗留内损，因而在外来毒邪作用下，又产生了本次咳嗽，称内损咳嗽。
R3,外感咳嗽,案沃,风寒热毒，从口鼻侵入人体，首先犯肺，肺气壅塞，以致咳嗽，咳痰。苗医 认为日咳为肺内有痰（diongb bnaib ait ngol mail ghabl hgol董哈爱沃也洛冲），夜咳为肺内有火（diongb bmangt ait ngol kaib jangx dlu董芒爱沃凯江都）,案沃或沃是指肺气上冲产生咳声，咳吐痰液，类似中医的外感咳嗽。
R4,感冒,蒙柯，凉底,"风寒热毒从口鼻侵入，伤气、伤血，血郁蕴热,犯肺;热毒上逆则咽喉疼痛;",感冒一词系外来语，苗医将头痛、受凉、时冷时热都归为感冒。
R5,喘病,按哦阿罗右,"风寒湿热,从口鼻侵入，首先伤肺、伤气、伤血。气血不足，湿痰瘀阻，血脉 运行无力，血行瘀滞,呼气吸气受限，面色青紫,上气不接下气，呼吸急促而喘息咳嗽。","喘病是20世纪80年代以来,苗医学习中医学之后，才将哮喘病分为喘病与癌病。"
R6,咳血,"按沃洛象,沃洛象。"," 风毒热毒从口鼻入内，首先犯肺，伤及气血,血热气滞不疏，上逆咳嗽咳 血。热毒过盛必然伤血伤水，加重热毒咳血。","沃象、按沃洛象、沃洛象是指咳嗽咳血，或痰中带血，血色鲜红,中医称咳血。"
R7,虚劳,蒋宾沃,"由于不同原因造成气血两虚，气虚血液运行减缓，重则产生气滞;血虚、血滞气行同样受到影响。气血两虚,人体功能下降，形成气短自汗，少气懒言;血虚，头晕，耳鸣，咯血，盗汗。",蒋宾沃是由于不明原因，或劳累过度，或居住环境不良等造成身体虚弱的慢性疾病。
R8,胸痛,摆痺,"人体感受外来风毒、寒毒、热毒及烟雾等犯肺造成气、血、水失调,肺气壅 滞上逆则生咳喘，蕴热伤水则生痰。风寒热致肺气壅遏，导致喘息，胸闷，痰喘，咳嗽。寒毒、湿毒、热毒伤及气 血，引起气滞，血脉不通，故发生胸闷，胸痛，或心悸。",胸痛是指胸口以上疼痛。
R9,肺痈,松芮泡,"诸如伤水，伤血，血热于肺,邪毒损伤津液，肺功能失调，血瘀郁结。突然 怕冷，高烧，咳嗽，胸痛，痰稠,1周后吐大量腥臭脓痰，或脓血相兼，发烧渐降，病情好转，如脓毒不净，持续咳嗽， 咯出脓痰，痰有血臭，低烧，消瘦。",松芮泡，相似于中医肺痈。
R10,胃痛,蒙布兜,"本症因伤气、伤血，气结血脉，运行不畅，则胃痛；气逆则暧气，泛吐酸水； 气滞不化饮食量少;气结血涩，化热伤血，则便黑;气滞血瘀,盛者则胃痛;气滞化热，损伤血脉，以致胃肠虚弱。","蒙布兜相似中医的胃胱痛,西医的上腹部疼痛。"
