id,name,behave,belongTo,treatment,pharmacy
R1,肺家热症咳嗽,咳嗽、痰液色黄、痰液黏稠,冷经冷病,清热润肺，止咳化痰,"一方:萬嘎得里（百部）10g,萬冲岗（白花蛇舌草）10g,萬灰萬菲（蒲公英）15g,榜佳腔（金银花）15g,萬祖别芭（白花前胡）10g,潘豆乃（十大功劳）1躍,煎水内服。二方:萬丢（折耳根）15g,佳洛浏吉（矮地茶）10g,珍花休（瓜萎）10g,萬达赊芭（射干）10g,煎水内服。三方:潘豆莎（十大功劳）8g,珍佳俄董（麦冬）10g,萬祖别芭（前胡）10g,葛久碧幼（一朵云）10g,M相学（牛莠子）12g,煎水内服。"
R2,肺家寒毒咳嗽,咳嗽、痰多、痰液色白清稀,冷经冷病,疏风散寒，润肺止咳,"一方:萬梗比（鹅不食草）10g,豆珍佳（枇杷叶）10g,珍蟒（杏仁）8g,嘎欧低（苏叶）8g,煎水内服。二方:珍姜（木姜子）2g,科纳（制半夏）8g,萬庆玛（紫莞）10g,萬嘎得里（百部）8g,煎水内服。三方:嘎欧低（紫苏）8g,珍蟒（杏仁）6g,萬祖别芭（白花前胡）10g,额俗戈巴（桔梗）10g,苞姜给打（茯苓）10g,佳榜岗（苕叶细辛）6g,煎水内服。"
R3,肺家风鮮热毒咳嗽,咳嗽，痰液色黄、痰液黏稠，咽痛,热经热病,疏风散热，清热解毒，祛痰止咳,"一方:萬里料（石韦）30g,蜂蜜30g,煎水内服。二方:珍蟒（杏仁）10g,萬嘎得里（百部）10g,额给戈坝（桔梗）12g,萬祖别芭（白前）10g,萬久碧幼（一朵云）10g,煎水内服。三方:佳洛刘吉（矮地茶）15g,M首扎（岩白菜）15g,萬相学（牛莠子）10g,煎水内服。四方:萬丢（鱼腥草）15g,萬久碧幼（一朵云）15g,萬拿（刺桑）15g,煎水内服。"
R4,肺家痰湿寒毒咳嗽,咳嗽，痰多，痰液色白清稀,冷经冷病,祛痰止咳，解表散寒，除湿解毒,"一方:萬丢（鱼腥草）10g,佳格勒（紫背天葵）16g,萬榜学（酢酱草）血,葛梗比（鹅不食草）8g,煎水内服。二方:萬庆玛（山紫菟）12g,萬久碧幼（一朵云）8g,芍药（白芍）10g,萬勇更（鹿衔草）12g,葛嘎得里（百部）10g,额给戈巴（桔梗）10g,煎水内服。三方:萬勇更（鹿衔草）12g,萬久碧幼（一朵云）10g,M庆玛（假紫菟）12g,葛祖别芭（白前）12g,萬梗比（鹅不食草）8g,萬达赊巴（射干）奨,煎水内服。’"
R5,热经热毒咳嗽,咳嗽，痰中带血，喉痒，连声作呛,热经热病,疏散风热，宣肺止咳,"一方:豆萬岗（桑叶）15g,珍蟒（杏仁）10g,萬壳欧（薄荷）8g,豆萬播（地骨皮）12g,姜加莪董（麦冬）12g,煎水内服。二方:仰抵嘎（沙参）15g,芦根15g,萬相学（牛莠子）10g,珍陆（梔子）10g,葛庆玛（紫菟）10g,煎水内服。三方:葛首扎（岩白菜）15g,佳姜给（荆芥）8g,葛久碧幼（一朵云）15g,瓜篓12g,佳珍嘎佬苑（果上叶）15g,煎水内服。"
R6,冷病内损咳嗷,痰多，咳嗽，痰液粘稠,热经热病,活血化瘀，清肺止咳,"一方:萬嘎勒（蜘蛛香）12g,萬芮榴（鱼鳏串）15g,科辣（制半夏）10g,嘎欧低（紫苏）8g,煎水内服。二方:珍蟒（杏仁）12g,科辣（制半夏）10g,M比审（虎耳草）12g,萬庆玛（紫菟）12g,葛里略芭（小远志）10g,煎水内服。三方:苞姜给打（茯苓）12g,厚朴12g,嘎炯嘎令豆嘎收（铁筷子）10g,瓜篓12g,煎水内服。"
R7,冷经风来咳漱,咳嗽，气急，痰液白色清稀,冷经冷病,解表散寒，清肺止咳,"一方:麻黄10g,珍蟒（杏仁）12g,额给戈罢（桔梗）10g,萬祖别芭（前胡）15g,佳比利吉（八爪金龙）15g,陈皮10g,煎水内服。二方:科辣（制半夏）10g,牛毛毡18g,佳姜给（荆芥）12g,嘎欧低（苏叶）10g,煎水内服。三方:萬梗比（鹅不食草）12g,榜拉梯（枇杷叶）15g,佳嘎陇给（徐长卿）8g,布佳菲（阎王刺）15g,煎水内服。"
R8,热经风热咳嗽,"身热，头痛，咳嗽，咳声嘶哑,",热经热病,疏散风热，宣肺止咳,"一方:豆菖岗（桑叶）12g,榜萬芜（菊花）10g,M壳欧（薄荷）6g,葛祖别芭（前胡）10g,M相学（牛旁子）15g,煎水内服。二方:潘豆乃（十大功劳）15g,萬久碧幼（一朵云）15g,萬达赊巴（射干）8g,榜佳腔（忍冬藤）15g,豆野给（白马骨）15g,煎水内服。"
R9,冷痞风寒感胃,发烧，头痛，咳嗽，流清涕,冷经冷病,辛温解表，宣肺止咳,"一方:佳灰柯（头晕药）20g,嘎欧低（苏叶）15g,生姜15g,葱10g,煎水内服。二方:佳九留（四块瓦）10g,珍姜（木姜子）20g,萬疗（辣蓼）20g,珍蟒（杏仁）10g,萬祖别芭（前胡）10g,煎水内服。三方:黄荆条15g,布佳菲（阎王刺）10g,葛梗比（鹅不食草）15g,防风10g,煎水内服。"
R10,热经风热感冒,发烧、咳嗽、头痛,热经热病,清热润肺，清肺化痰,"一方:萬芮榴（鱼輙串）20g,嘎炯菲（葛根）15g,仰造里（水螟蚣）15g,萬壳欧（薄荷）15g,煎水内服。二方:佳劳给（马鞭草）15g,榜萬芜（野菊花）12g,萬相学（牛莠子）15g,萬吼嘎抖（贯众）15g,煎水内服。三方:豆葛岗（桑叶）15g,榜葛芜（野菊花）10g,潘豆乃（十大功劳）15g,萬久碧幼（一朵云）15g,煎水内服。"
R11,冷病寒喘,"喘息,咳嗽,痰白色，无汗",冷经冷病,宣肺平喘，温胃散寒,"一方:麻黄12g,科辣（制半夏）10g,陈皮12g,珍蟒（杏仁）12g,兔耳风15g,煎水内服。二方:麻黄12g,豆萬岗（桑白皮）15g,萬祖别芭（白前）10g,珍芭沟豆（银杏）12g,煎水内服。三方:榜拉梯（炙枇杷叶）15g,珍蟒（杏仁）12g,嘎欧低（紫苏）15g,萬达赊巴（射干）12g,煎水内服。"
R12,痰湿咳喘,喘咳，痰多色白，怕冷,冷经冷病,宣肺平喘，止咳平喘,"一方:陈皮12g,科辣（制半夏）12g,苞姜给打（茯苓）15g,嘎欧低（紫苏）10g,厚朴10g,煎水内服。二方:嘎欧低（紫苏）12g,白芥子12g,旋覆花10g,胆南星15g,萬里略芭（小远志）10g,煎水内服。三方:佳欧芜（党参）15g,苞姜给打（茯苓）15g,凯（干姜）10g,佳榜岗（细辛）8g,珍蟒（杏仁）12g,萬项嘎（鸡矢藤）15g,煎水内服。"
R13,气虚欢喘,喘促，咳嗽，喉中有鼾声,冷经冷病,宣肺平喘，补气养血,"一方:佳欧芜（党参）20g,姜加莪董（麦冬）15g,珍蟒（杏仁）12g,波嘎梯（百合）15g,珍梱（桃仁）20g,萬达赊巴（射干）10g,煎水内服。二方:嘎欧低（紫苏）12g,佳欧芜（党参）15g,萬庆玛（紫蒐）12g,苞姜给打（茯苓）15g,萬久碧幼（一朵云）15g,煎水内服。三方:豆葛播（地骨皮）12g,挂桂莪（白薇）10g,波嘎梯（百合）15g,M首扎（岩白菜）15g,娜丽（山药）15g,煎水内服。"
R14,热经风热咳血,"咳嗽,痰黄痰中夹血，色鲜红",热经热病,清热润肺，凉血止血,"一方:萬布罢娜（小蓟）15g,葛布罢确（大蓟）15g,M油欧（野油菜）15g,佳嘎吉给（仙鹤草）12g,萬嘎相（旱莲草）16g,煎水内服。二方:珍蟒（杏仁）10g,萬祖别芭（白前）12g，科纳（制半夏）10g,萬相学（牛莠子）10g,潘豆乃（十大功劳）15g,萬久碧幼（一朵云）15g,煎水内服。三方:佳嘎吉给（仙鹤草）15g,仰嘎姬（白茅根）15g,萬坝仰（夏枯草）15g,萬比赊溜（连钱草）18g,煎水内服。"
R15,热经热毒咳血,咳血，痰中带血或咳纯血,热经热病,清肺止咳，凉血止血,"一方:佳额酒（芦根）20g,榜佳腔（银花）10g,葛里略坝（连翘）8g,葛壳欧（薄荷）6g,额给戈芭（桔梗）8g,萬里略芭（小远志）8g,仰格陇给（竹叶）10g,煎水内服。二方:布幼打（三匹风）20g,葛久碧幼（一朵云）10g,萬布罢确（大蓟）12g,乌旧（白及）10g,佳嘎吉给（仙鹤草）10g,萬久欧（水三七）12g,煎水内服。三方:珍佳俄董（麦冬）12g,肝努净菸（岩豆工豆）10g,乌旧（白及）10g,佳珍嘎佬苑（果上叶）15g,文殊兰10g,煎水内服。"
R16,气亏虚劳,气短自汗，少气懒言，腰膝酸软,冷经冷病,补气养血，养阴益气,"一方:姬佳诺（阳雀花根）20g,豆萬岗（桑叶）20g,豆萬播（地骨皮）15g,鳖甲12g,煎水内服。二方:娜丽（山药）血,苞姜给打（茯苓）20g,珍陡（茵仁米）20g,芍药（白芍）15g,桂枝8g,煎水内服。三方:萬布套学（血人参）20g,佳欧芜（党参）20g,扁豆20g,桂枝6g,柴胡8g,煎水内服。"
R17,血亏虚夢,面色苍白，头晕，心慌,冷经冷病,补气养血，滋肝补肾,"一方:嘎炯芒桑（棉花根）20g,萬仰西（茜草）15g,萬布罢确（大蓟）18g,豆萬岗（桑甚）20g,煎水内服。二方:凯欧（黄精）20g,佳欧芜（党参）18g,嘎佬豆金（三枝茶）18g,娜丽（山药）20g,煎水内服。三方:地米参18g,萬朴翁（何首乌）20g,萬里略芭（小远志）10g,M芝15g,煎水内服。"
R18,胸痛,胸痛，胸闷,冷经冷病,理气，通络，镇痛,"一方:豆卡欧（吴萸）13g,雅佳莲（八角莲根）18g,捣成细未吞服。二方:嘎龚真宫幼（五香血藤）15g,仰松芭（香附）10g,豆姜给（苦楝）10g,豆卡欧（吴萸）6g,煎水内服。三方:萬山落（乌药）10g,仰松芭（香附）10g,豆卡欧（吴萸）6g,葛岗雅（蜘蛛香）15g,苞脚桑（地苦胆）6g,煎水内服。四方:佳嘎陇给（徐长卿）8g,豆卡欧（吴萸）6g,仰松芭（香附）10g,芍药（白芍）10g,煎水内服。"
R19,肺痈初起,胸闷，咳嗽，咳痰，发烧，面红,热经热病,清热解毒，活血化瘀，止咳,"一方:榜萬芜（野菊花）20g,潘豆乃（十大功劳）15g,萬相学（牛莠子）15g,萬祖别芭（白花前胡）15g,煎水内服。二方:榜佳腔（金银花）15g,豆比吼哈羌（三颗针）1源,豆野给（白马骨）2脆,萬久碧幼（一朵云）10g,煎水内服。三方:潘豆乃（十大功劳）20g,额给戈罢（桔梗）15g,珍桐（桃仁）15g,萬壳欧（薄荷）10g,萬丢（鱼腥草）30g,煎水内服。"
R20,肺痈、肺肿,胸痛、咳痰，腥臭，黄绿色，出汗,热经热病,清热解毒，行瘀消肿,"一方:萬丢（鱼腥草）30g,红藤15g,珍桐（桃仁）15g,佳萬遍尖脑（半枝莲）15g,煎水内服。二方:榜萬就（律草花）20g,萬坝仰（夏枯草）20g,珍陡（茵仁米）20g,佳美勒（败酱草）15g,葛灰萬菲（蒲公英）30g,兔耳风15g,煎水内服。三方:豆野给（白马骨）20g,萬灰卡娜（紫花地丁）30g,珍蟒（杏仁）12g,榜萬芜（野菊花）20g,佳兴松（白毛夏枯草）30g,煎水内服。"
R21,肺痈成脓,"咳吐脓痰,或痰血，胸痛，盗汗",热经热病,排脓解毒，清热止咳,"一方:萬布罢确（大蓟）20g,萬布罢娜（小蓟）20g,珍陡（茂仁米）30g,萬灰卡娜（紫花地丁）20g,嘎龚布梭学嘎八（见血飞）15g,煎水内服。二方:榜佳腔（金银花）30g,萬欧吾（千里光）30g,瓜萎20g,佳美勒（败酱草）20g,嘎炯令豆得（水冬瓜根皮）20g,煎水内服。三方:阿梅棍（苦芥头）20g,潘豆乃（十大功劳）20g,萬娜（养菜）20g,萬比赊幼（马蹄金）15g,萬灰秋（土大黄）15g,豆萬岗（桑白皮）15g,煎水内服。"
R22,热经胃痛,胸口辣痛，反酸,热经热病,清热和胃，消食化积,"一方:鸡蛋壳100个，烘干为末，二方:青藤香15g,隔山消30g,煎水内服。三方:糯独佳开都（水黄连）10g,豆卡欧（吴萸）18g,煎水内服。四方:豆比吼哈羌（三颗针）10g,佳嘎陇给（徐长卿）20g,乌旧（白及）20g,仰松芭（香附）15g,穿心莲15g,煎水内服。"
R23,冷经胃痛,胸口疼痛吐清水，进食后疼痛缓解,冷经冷病,健脾和胃，消食化积,"一方:萬嘎勒（蜘蛛香）20g,仰松芭（香附）10g,萬山落（乌药）15g,煎水内服。二方:黄苗20g,桂枝10g,良姜10g,煎水内服。三方:珍姜（木姜子）20g,豆卡欧（吴萸）10g,珍豆蟒（路路通）15g,煎水内服。"
