from_name,to_name,name
肺家热症咳嗽,咳嗽,behave
肺家热症咳嗽,痰液色黄,behave
肺家热症咳嗽,痰液黏稠,behave
肺家寒毒咳嗽,咳嗽,behave
肺家寒毒咳嗽,痰多,behave
肺家寒毒咳嗽,痰液色白清稀,behave
肺家风鮮热毒咳嗽,咳嗽,behave
肺家风鮮热毒咳嗽,痰液色黄,behave
肺家风鮮热毒咳嗽,痰液黏稠,behave
肺家风鮮热毒咳嗽,咽痛,behave
肺家痰湿寒毒咳嗽,咳嗽,behave
肺家痰湿寒毒咳嗽,痰多,behave
肺家痰湿寒毒咳嗽,痰液色白清稀,behave
热经热毒咳嗽,咳嗽,behave
热经热毒咳嗽,痰中带血,behave
热经热毒咳嗽,喉痒,behave
热经热毒咳嗽,连声作呛,behave
冷病内损咳嗷,痰多,behave
冷病内损咳嗷,咳嗽,behave
冷病内损咳嗷,痰液粘稠,behave
冷经风来咳漱,咳嗽,behave
冷经风来咳漱,气急,behave
冷经风来咳漱,痰液白色清稀,behave
热经风热咳嗽,咳嗽,behave
热经风热咳嗽,气急,behave
热经风热咳嗽,痰液白色清稀,behave
冷痞风寒感胃,发烧,behave
冷痞风寒感胃,头痛,behave
冷痞风寒感胃,咳嗽,behave
冷痞风寒感胃,流清涕,behave
热经风热感冒,发烧,behave
热经风热感冒,咳嗽,behave
热经风热感冒,头痛,behave
冷病寒喘,喘息,behave
冷病寒喘,咳嗽,behave
冷病寒喘,痰白色,behave
冷病寒喘,无汗,behave
痰湿咳喘,喘咳,behave
痰湿咳喘,痰多,behave
痰湿咳喘,痰液色白清稀,behave
痰湿咳喘,怕冷,behave
气虚欢喘,喘促,behave
气虚欢喘,咳嗽,behave
气虚欢喘,喉中有鼾声,behave
热经风热咳血,咳嗽,behave
热经风热咳血,痰液色黄,behave
热经风热咳血,痰中夹血,behave
热经热毒咳血,咳血,behave
热经热毒咳血,痰中夹血,behave
气亏虚劳,气短自汗,behave
气亏虚劳,少气懒言,behave
气亏虚劳,腰膝酸软,behave
血亏虚夢,面色苍白,behave
血亏虚夢,头晕,behave
血亏虚夢,心慌,behave
胸痛,胸痛,behave
胸痛,胸闷,behave
肺痈初起,胸闷,behave
肺痈初起,咳嗽,behave
肺痈初起,咳痰,behave
肺痈初起,发烧,behave
肺痈初起,面红,behave
肺痈、肺肿,胸痛,behave
肺痈、肺肿,咳痰,behave
肺痈、肺肿,痰液腥臭,behave
肺痈、肺肿,出汗,behave
肺痈成脓,痰中夹血,behave
肺痈成脓,胸痛,behave
肺痈成脓,盗汗,behave
热经胃痛,胸痛,behave
热经胃痛,反酸,behave
冷经胃痛,胸痛,behave
冷经胃痛,吐清水,behave
大肠热疾,腹痛,behave
大肠热疾,呕吐,behave
大肠热疾,腹胀,behave
早期肠痛,右下肚肠疼痛,behave
早期肠痛,怕冷,behave
早期肠痛,恶心,behave
早期肠痛,呕吐,behave
晩期肠痛,右下腹疼痛,behave
晩期肠痛,皮肤隆起,behave
热经腹痛,腹部疼痛,behave
热经腹痛,恶食,behave
冷经腹痛,腹痛,behave
冷经腹痛,时痛时止,behave
热经腹泻,泻泄,behave
热经腹泻,肠鸣,behave
热经腹泻,腹痛,behave
冷经腹泻,大便次数增多,behave
冷经腹泻,便清稀,behave
冷经腹泻,肠鸣即泻,behave
冷经俗象,食后4小时以上反胃,behave
冷经俗象,口吐清水,behave
冷经俗象,吐后舒适,behave
热经俗象,腹胀,behave
热经俗象,反胃,behave
热经俗象,口吐清水,behave
热病呕吐, 恶心,behave
热病呕吐,呕吐,behave
热病呕吐,腹痛,behave
冷痔呕吐,进食即吐,behave
热经煜热吐血,吐血,behave
热经煜热吐血,腹胀,behave
热经煜热吐血,腹痛,behave
热经煜热吐血,大便黑色,behave
热经热毒吐血,腹胀,behave
热经热毒吐血,吐血,behave
热经热毒吐血,口苦,behave
热经热毒吐血,心 烦,behave
热经吐酸水,口吐酸水,behave
冷病吐酸水,腹胀,behave
冷病吐酸水,口吐酸水,behave
热经打隔,不停打嗝,behave
热经打隔,声音洪亮,behave
冷经打隔,打嗝不停,behave
冷经打隔,声音较为缓和,behave
冷经便血,便血,behave
冷经便血,大便色黑,behave
冷经便血,腹痛,behave
热经便血,便血,behave
热经便血,血色紫黑色,behave
热经便秘,腹胀,behave
热经便秘,排便困难,behave
热经便秘,腹痛,behave
冷经气血两亏便秘,大便干结,behave
冷经气血两亏便秘,排便困难,behave
热经黄疸,皮肤发黄,behave
热经黄疸,小便发黄,behave
热经黄疸,眼珠发黄,behave
冷经簧疸,全身发黄,behave
冷经簧疸,眼珠发黄,behave
冷经簧疸,腹痛,behave
