from_name,to_name,name
肺家热症咳嗽,冷经冷病,属经为
肺家寒毒咳嗽,冷经冷病,属经为
肺家风鮮热毒咳嗽,热经热病,属经为
肺家痰湿寒毒咳嗽,冷经冷病,属经为
热经热毒咳嗽,热经热病,属经为
冷病内损咳嗷,热经热病,属经为
冷经风来咳漱,冷经冷病,属经为
热经风热咳嗽,热经热病,属经为
冷痞风寒感胃,冷经冷病,属经为
热经风热感冒,热经热病,属经为
冷病寒喘,冷经冷病,属经为
痰湿咳喘,冷经冷病,属经为
气虚欢喘,冷经冷病,属经为
热经风热咳血,热经热病,属经为
热经热毒咳血,热经热病,属经为
气亏虚劳,冷经冷病,属经为
血亏虚夢,冷经冷病,属经为
胸痛,冷经冷病,属经为
肺痈初起,热经热病,属经为
肺痈、肺肿,热经热病,属经为
肺痈成脓,热经热病,属经为
热经胄痛,热经热病,属经为
冷经胃痛,冷经冷病,属经为
大肠热疾,热经热病,属经为
早期肠痛,热经热病,属经为
晩期肠痛,冷经冷病,属经为
热经腹痛,热经热病,属经为
冷经腹痛,冷经冷病,属经为
热经腹泻,热经热病,属经为
冷经腹泻,冷经冷病,属经为
冷经俗象,冷经冷病,属经为
热经俗象,热经热病,属经为
热病呕吐,热经热病,属经为
冷痔呕吐,冷经冷病,属经为
热经煜热吐血,热经热病,属经为
热经热毒吐血,热经热病,属经为
热经吐酸水,热经热病,属经为
冷病吐酸水,冷经冷病,属经为
热经打隔,热经热病,属经为
冷经打隔,冷经冷病,属经为
冷经便血,冷经冷病,属经为
热经便血,热经热病,属经为
热经便秘,热经热病,属经为
冷经气血两亏便秘,冷经冷病,属经为
热经黄疸,热经热病,属经为
冷经簧疸,冷经冷病,属经为
热经水朦病,热经热病,属经为
冷经水朦病,冷经冷病,属经为
冷经气虚痛肾,冷经冷病,属经为
热经风热痛肾,热经热病,属经为
热经湿热痛肾,热经热病,属经为
热经尿路瘪痛,热经热病,属经为
冷经尿路疼痛,冷经冷病,属经为
热经尿血,热经热病,属经为
冷经尿血,冷经冷病,属经为
遗尿,冷经冷病,属经为
热经小便困难,热经热病,属经为
冷经小便国碓,冷经冷病,属经为
尿甜症,热经热病,属经为
冷病水湿瘟疾,冷经冷病,属经为
热病水湿瘟蒙,热经热病,属经为
热经水肿,热经热病,属经为
冷病气血两虚水肿,冷经冷病,属经为
热病血虚心慌,热经热病,属经为
冷病气血两虚心慌,冷经冷病,属经为
冷经头痛,冷经冷病,属经为
热经头痛,热经热病,属经为
偏头痛,冷经冷病,属经为
前额头痛,热经热病,属经为
热经头昏目眩庭,热经热病,属经为
冷经血虚目眩症,冷经冷病,属经为
冷经气虚头备目眩建,冷经冷病,属经为
