from_name,to_name,name
苗族医学,肺家咳嗽症,hasDisease
苗族医学,内损咳嗽症,hasDisease
苗族医学,外感咳嗽,hasDisease
苗族医学,感冒,hasDisease
苗族医学,喘病,hasDisease
苗族医学,咳血,hasDisease
苗族医学,虚劳,hasDisease
苗族医学,胸痛,hasDisease
苗族医学,肺痈,hasDisease
苗族医学,胃痛,hasDisease
苗族医学,大肠热疾,hasDisease
苗族医学,肚肠疼痛,hasDisease
苗族医学,腹痛,hasDisease
苗族医学,腹泻,hasDisease
苗族医学,反胃,hasDisease
苗族医学,呕吐,hasDisease
苗族医学,吐血,hasDisease
苗族医学,吐酸水,hasDisease
苗族医学,打嗝,hasDisease
苗族医学,便血,hasDisease
苗族医学,便秘,hasDisease
苗族医学,黄疸,hasDisease
苗族医学,水熾病,hasDisease
苗族医学,痛肾,hasDisease
苗族医学,泌尿系感染,hasDisease
苗族医学,尿血,hasDisease
苗族医学,遗尿,hasDisease
苗族医学,小便困难,hasDisease
苗族医学,尿甜症,hasDisease
苗族医学,湿瘟,hasDisease
苗族医学,水肿,hasDisease
苗族医学,心慌,hasDisease
苗族医学,头痛,hasDisease
苗族医学,偏头痛,hasDisease
苗族医学,前额头痛,hasDisease
苗族医学,头昏目眩症,hasDisease
苗族医学,热湿头晕症,hasDisease
苗族医学,胁痛,hasDisease
苗族医学,健忘,hasDisease
苗族医学,忧郁,hasDisease
苗族医学,多睡病,hasDisease
苗族医学,失眠,hasDisease
苗族医学,抖症,hasDisease
苗族医学,中邪,hasDisease
苗族医学,妇人花癫,hasDisease
苗族医学,出血症,hasDisease
苗族医学,青紫血斑,hasDisease
苗族医学,紫斑,hasDisease
苗族医学,风湿性关节炎,hasDisease
苗族医学,类风湿,hasDisease
苗族医学,痿症,hasDisease
苗族医学,汗症,hasDisease
苗族医学,疽症,hasDisease
苗族医学,嘈杂症,hasDisease
苗族医学,燥热,hasDisease
苗族医学,内伤发烧,hasDisease
苗族医学,痢疾,hasDisease
苗族医学,小儿痞子,hasDisease
苗族医学,百日咳,hasDisease
苗族医学,腮腺炎,hasDisease
苗族医学,水痘,hasDisease
苗族医学,丹毒,hasDisease
苗族医学,痹病,hasDisease
苗族医学,肺痹胸痛,hasDisease
苗族医学,九子疡,hasDisease
苗族医学,蜕虫病,hasDisease
苗族医学,蛔虫病,hasDisease
