from_name,to_name,name
百部,润肺,function
百部,止咳,function
百部,降气,function
百部,化痰,function
白花蛇舌草,清热,function
白花蛇舌草,除湿,function
白花蛇舌草,止咳,function
蒲公英,退烧,function
蒲公英,止胸痛,function
金银花,清热,function
金银花,解毒,function
金银花,散热,function
金银花,止咳,function
白花前胡,散风,function
白花前胡,清热,function
白花前胡,降气,function
白花前胡,化痰,function
十大功劳,清热,function
十大功劳,止咳,function
折耳根,清热,function
折耳根,解毒,function
矮地茶,活血,function
矮地茶,化瘀,function
瓜萎,润肺,function
瓜萎,祛痰,function
射干,清热,function
射干,解毒,function
射干,祛痰,function
射干,利咽,function
麦冬,润肺,function
麦冬,止咳,function
一朵云,止咳,function
一朵云,化痰,function
牛莠子,宣肺,function
牛莠子,解表,function
鹅不食草,清热,function
鹅不食草,利湿,function
鹅不食草,温通,function
鹅不食草,散寒,function
鹅不食草,止咳,function
鹅不食草,利咽,function
枇杷叶,清热,function
枇杷叶,解毒,function
枇杷叶,润肺,function
枇杷叶,止咳,function
苏叶,润肺,function
苏叶,止咳,function
苏叶,化痰,function
苏叶,止喘,function
木姜子,温通,function
木姜子,散寒,function
木姜子,顺气,function
木姜子,止咳,function
制半夏,燥湿,function
制半夏,化痰,function
紫莞,理肺,function
紫莞,止咳,function
紫莞,利湿,function
紫莞,平喘,function
紫苏,祛寒,function
紫苏,温肺,function
紫苏,止咳,function
紫苏,化痰,function
桔梗,排毒,function
桔梗,止咳,function
桔梗,宣肺,function
桔梗,化痰,function
茯苓,利水,function
茯苓,渗湿,function
茯苓,健脾,function
茯苓,补中,function
苕叶细辛,化痰,function
苕叶细辛,止咳,function
石韦,去肺热,function
石韦,止咳,function
石韦,凉血,function
蜂蜜,滋阴补虚,function
岩白菜,润肺,function
岩白菜,止咳,function
鱼腥草,清热,function
鱼腥草,解毒,function
刺桑,清热,function
刺桑,利湿,function
紫背天葵,清热,function
紫背天葵,解毒,function
酢酱草,利湿,function
酢酱草,化痰,function
山紫菟,润肺,function
山紫菟,止咳,function
白芍,养血,function
白芍,柔肝,function
鹿衔草,祛风,function
鹿衔草,除痰,function
假紫菟,通窍,function
假紫菟,散寒,function
假紫菟,祛风,function
假紫菟,除湿,function
桑叶,散寒,function
薄荷,疏风,function
地骨皮,凉血,function
沙参,清热,function
梔子,泻火,function
紫菟,润肺,function
荆芥,祛风,function
瓜篓,润肺,function
果上叶,养阴,function
蜘蛛香,理气,function
鱼鳏串,清热,function
虎耳草,燥湿,function
小远志,祛痰,function
厚朴,宽胸,function
铁筷子,清热,function
麻黄,发汗,function
八爪金龙,散瘀,function
陈皮,止咳,function
牛毛毡,止咳,function
徐长卿,通经,function
阎王刺,祛风,function
菊花,清热,function
忍冬藤,清热,function
白马骨,止咳,function
头晕药,散寒,function
生姜,辛温,function
葱,祛寒,function
四块瓦,散寒,function
辣蓼,祛风,function
黄荆条,疏风,function
防风,驱风,function
鱼輙串,理气,function
葛根,止渴,function
水螟蚣,止咳,function
马鞭草,发汗,function
野菊花,清热,function
贯众,去毒,function
兔儿风,润肺,function
桑白皮,泻肺,function
银杏,养肺,function
炙枇杷叶,活血,function
白芥子,散寒,function
旋覆花,止咳,function
胆南星,平喘,function
党参,益肺,function
干姜,通脉,function
细辛,止咳,function
鸡失藤,化痰,function
百合,润肺,function
桃仁,补肺,function
紫蒐,润肺,function
白薇,清热,function
山药,补脾,function
小蓟,滋补,function
大蓟,凉血,function
野油菜,祛痰,function
仙鹤草,收敛,function
旱莲草,凉血,function
白茅根,清热,function
夏枯草,清热,function
连钱草,清热,function
芦根,清热,function
银花,清热,function
连翘,凉血,function
竹叶,止咳,function
三匹风,清热,function
白及,润肺,function
水三七,止咳,function
岩豆工豆,清热,function
阳雀花根,补气,function
鳖甲,滋阴,function
茵仁米,健脾,function
桂枝,辛温,function
血人参,滋阴,function
扁豆,健脾,function
柴胡,疏肝,function
棉花根,祛风,function
茜草,止咳,function
桑甚,滋阴,function
黄精,补气,function
三枝茶,镇静,function
地米参,补血,function
何首乌,补肝肾,function
吴萸,温中,function
八角莲根,理气,function
五香血藤,顺气,function
香附,理气,function
苦楝,理气,function
乌药,温胃,function
地苦胆,清热,function
三颗针,清热,function
红藤,清热,function
半枝莲,清热,function
律草花,消肿,function
败酱草,散结,function
紫花地丁,消肿,function
白毛夏枯草,化瘀,function
茂仁米,健脾,function
见血飞,止痛,function
千里光,清热,function
水冬瓜根皮,活血,function
苦芥头,止痛,function
养菜,清热,function
马蹄金,化瘀,function
土大黄,解毒,function
鸡蛋壳,止痛,function
青藤香,止痛,function
隔山消,化积,function
水黄连,解毒,function
穿心莲,止痛,function
乌药煎水,止痛,function
黄苗,补血,function
良姜,止痛,function
路路通,通络,function
委陵菜,凉血,function
苦养头,解毒,function
地榆,凉血,function
石菖蒲,除湿,function
土三七,清热,function
蕾香,化湿,function
红花,养血,function
一支黄花,疏风,function
皂角刺,消肿,function
黄芷,生肌,function
香樟根,芳香,function
山乌龟,止腹痛,function
青木香,止痛,function
太子参,健脾,function
花椒,燥湿,function
木香,解毒,function
马齿苑,解毒,function
刺梨根,止泻,function
石榴皮,止痢,function
红糖,散寒,function
大蒜,止泻,function
白酒,增强药效,function
白糖,调味,function
粟壳,止泻,function
骚羊古,消肿,function
山楂,止泻,function
麦芽,消食,function
水葵花,止吐,function
竹茹,止呕,function
三棱,化瘀,function
莪术,止血,function
小种三七,化瘀,function
七叶莲,止呕,function
赤芍,凉血,function
阳雀花,养阴,function
土鳖虫,活血,function
糯米团,健脾,function
生姜汁,清胃热,function
黄连,清胃热,function
土人参,补虚,function
石斛,滋阴,function
龙胆草,清热,function
山枝茶,镇静,function
卷柏,止血,function
蒲黄,行血,function
紫珠草,凉血,function
栀子,泻火,function
铁扫帚,清热,function
玉竹,养阴,function
肉桂,辛湿,function
生石膏,清胃热,function
鸡内金,顺气,function
九香虫,理气,function
香樟,芳香,function
柿蒂,降气,function
刀豆壳,补气,function
泡参,补血,function
九龙盘,活血,function
槐花,清热,function
黄柏,清热,function
三七,止血,function
荆芥穗,祛风,function
地苍,止血,function
蚊母草,活血,function
臭牡丹,解毒,function
大黄粉,通便,function
郁李仁,泻下,function
莺尾,消积,function
天冬,养阴,function
麻油,滑肠,function
火麻仁,润燥,function
茵陈,清热,function
车前草,利尿,function
金钱草,解毒,function
牛筋树,化食,function
钓鱼杆,散瘀,function
阴行草,退黄,function
拂猴桃根,养阴,function
冬葵子,排毒,function
地耳草,清热,function
木瓜,平肝,function
田基黄,去水,function
商陆,利尿,function
鸭屁股,通便,function
四季红,利水,function
海金沙,化瘀,function
黑丑,补肾,function
白丑,利水,function
六月雪,清热,function
丹参,活血,function
半边莲,清热,function
穿破石,利湿,function
杏叶沙参,清热,function
淫羊蕾,补肾,function
菟丝子,补肾,function
刀豆子,温中,function
野蔷薇果,清热,function
天葵子,凉血,function
桃花,通利,function
篇蓄,清热,function
生扯拢,清热,function
玉米须,解毒,function
凤尾草,解毒,function
鸡冠花,利湿,function
金樱子,止血,function
大马蹄草,利尿,function
一点红,止血,function
女贞子,清热,function
旱莲花,凉血,function
杜仲,补肝肾,function
灵芝,安神,function
仙茅,壮阳,function
枸杞,退热,function
韭菜子,滋阴,function
酸咪咪,清热,function
续断,补肝肾,function
牛膝,活血,function
狗脊,祛风,function
万寿竹,健脾,function
五味子,活血,function
凉粉茶,清热,function
榴木,祛风,function
佩兰,醒脾,function
狗肝菜,燥湿,function
淡竹叶,除烦,function
苣仁米,健脾,function
鸭跖草,解毒,function
车前子,补肝肾,function
远志,祛痰,function
芥白,芳香,function
虎杖,清热,function
天麻,息风,function
钩藤,平肝,function
草决明,清肝,function
三叶草,退热,function
鸡血藤,补血,function
黑骨藤,活血,function
木姜子叶,祛冷,function
大血藤,活血,function
鸡矢藤,祛风,function
苍耳,祛风,function
姜黄,止痛,function
夜交藤,补肝肾,function
桑募,滋阴,function
斑鸠窝,健脾,function
瓜子金,祛痰,function
地龙,舒筋,function
益母草,活血,function
桑寄生,补肝肾,function
仙人掌,化瘀,function
野薄荷,咽喉,function
当归,补气,function
川楝,杀虫,function
茯荟,利水,function
灯心草,清心火,function
红禾麻,祛风,function
乌梢蛇,祛风,function
螟蚣,祛风,function
水冬瓜皮,凉血,function
鲜桑叶,润燥,function
鱼瞅串,消食,function
马齿竟,凉血,function
苦参,利湿,function
南蛇藤,降火,function
马齿菟,清热,function
满天星,利湿,function
土大黄粉,止血,function
大黄,清热,function
九里光,清热,function
青蒿,凉血,function
元宝草,活络,function
莓草,解毒,function
侧柏叶,止血,function
铁包金,驱风,function
地肤子,利水,function
泽兰,祛瘀,function
地蜂子,散瘀,function
木槿花,止血,function
茜草炭,凉血,function
仙桃草,止血,function
侧柏,止血,function
雪莲花,生血,function
龙葵,解毒,function
蛇莓,活血,function
郁金,通经,function
还魂草,止血,function
透骨香,清热,function
追风散,祛风,function
八角枫,祛风,function
威灵仙,通络,function
水冬瓜,活血,function
豬荟草,祛风,function
草乌,祛风,function
三角风,祛风,function
一枝黄花,疏风,function
蛇莲,清热,function
伸筋草,舒筋,function
金丝桃,清热,function
骨碎朴,强筋,function
冬葵,清热,function
地丁,解毒,function
山蚂蝗,解毒,function
大青木,清热,function
苍耳子,祛风,function
九头狮子草,发汗,function
冬葵根,清热,function
升麻,补益,function
白折耳,清热,function
律草,清热,function
地枇杷,清热,function
地苞,清热,function
野花椒,温中,function
浮萍,祛风,function
万年青,清热,function
岩豆,清热,function
八角莲,祛痰,function
白英,解毒,function
谷精草,疏风,function
鲜花脸七根,清热,function
花脸七,清热,function
金养麦,止痛,function
小夜关门,杀虫,function
意茵根,驱虫,function
乌梅,驱虫,function
