from_name,to_name,name
肺家热症咳嗽,百部,pharmacy
肺家热症咳嗽,白花蛇舌草,pharmacy
肺家热症咳嗽,蒲公英,pharmacy
肺家热症咳嗽,金银花,pharmacy
肺家热症咳嗽,白花前胡,pharmacy
肺家热症咳嗽,十大功劳,pharmacy
肺家热症咳嗽,折耳根,pharmacy
肺家热症咳嗽,矮地茶,pharmacy
肺家热症咳嗽,瓜萎,pharmacy
肺家热症咳嗽,射干,pharmacy
肺家热症咳嗽,麦冬,pharmacy
肺家热症咳嗽,前胡,pharmacy
肺家热症咳嗽,一朵云,pharmacy
肺家热症咳嗽,牛莠子,pharmacy
肺家寒毒咳嗽,鹅不食草,pharmacy
肺家寒毒咳嗽,枇杷叶,pharmacy
肺家寒毒咳嗽,杏仁,pharmacy
肺家寒毒咳嗽,苏叶,pharmacy
肺家寒毒咳嗽,木姜子,pharmacy
肺家寒毒咳嗽,制半夏,pharmacy
肺家寒毒咳嗽,紫莞,pharmacy
肺家寒毒咳嗽,百部,pharmacy
肺家寒毒咳嗽,紫苏,pharmacy
肺家寒毒咳嗽,杏仁,pharmacy
肺家寒毒咳嗽,白花前胡,pharmacy
肺家寒毒咳嗽,桔梗,pharmacy
肺家寒毒咳嗽,茯苓,pharmacy
肺家寒毒咳嗽,苕叶细辛,pharmacy
肺家风鮮热毒咳嗽,石韦,pharmacy
肺家风鮮热毒咳嗽,蜂蜜,pharmacy
肺家风鮮热毒咳嗽,杏仁,pharmacy
肺家风鮮热毒咳嗽,百部,pharmacy
肺家风鮮热毒咳嗽,桔梗,pharmacy
肺家风鮮热毒咳嗽,白花前胡,pharmacy
肺家风鮮热毒咳嗽,一朵云,pharmacy
肺家风鮮热毒咳嗽,矮地茶,pharmacy
肺家风鮮热毒咳嗽,岩白菜,pharmacy
肺家风鮮热毒咳嗽,鱼腥草,pharmacy
肺家风鮮热毒咳嗽,刺桑,pharmacy
肺家痰湿寒毒咳嗽,鱼腥草,pharmacy
肺家痰湿寒毒咳嗽,紫背天葵,pharmacy
肺家痰湿寒毒咳嗽,酢酱草,pharmacy
肺家痰湿寒毒咳嗽,鹅不食草,pharmacy
肺家痰湿寒毒咳嗽,山紫菟,pharmacy
肺家痰湿寒毒咳嗽,一朵云,pharmacy
肺家痰湿寒毒咳嗽,白芍,pharmacy
肺家痰湿寒毒咳嗽,鹿衔草,pharmacy
肺家痰湿寒毒咳嗽,百部,pharmacy
肺家痰湿寒毒咳嗽,桔梗,pharmacy
肺家痰湿寒毒咳嗽,假紫菟,pharmacy
肺家痰湿寒毒咳嗽,白花前胡,pharmacy
肺家痰湿寒毒咳嗽,射干,pharmacy
热经热毒咳嗽,桑叶,pharmacy
