from_name,to_name,name
百部,苦,味道为
白花蛇舌草,淡,味道为
蒲公英,苦,味道为
金银花,涩,味道为
白花前胡,苦,味道为
十大功劳,苦,味道为
折耳根,辛,味道为
矮地茶,苦,味道为
瓜萎,甜,味道为
射干,苦,味道为
麦冬,甜,味道为
一朵云,苦,味道为
牛莠子,苦,味道为
鹅不食草,苦,味道为
枇杷叶,苦,味道为
杏仁,苦,味道为
苏叶,苦,味道为
木姜子,幸,味道为
制半夏,幸,味道为
紫莞,甜,味道为
紫苏,甜,味道为
桔梗,苦,味道为
茯苓,甜,味道为
苕叶细辛,辣,味道为
石韦,苦,味道为
蜂蜜,甜,味道为
岩白菜,甜,味道为
鱼腥草,酸,味道为
刺桑,苦,味道为
紫背天葵,涩,味道为
酢酱草,酸,味道为
山紫菟,甜,味道为
白芍,苦,味道为
鹿衔草,幸,味道为
假紫菟,幸,味道为
折耳根,淡,味道为
紫莞,幸,味道为
紫苏,幸,味道为
石韦,甜,味道为
鱼腥草,涩,味道为
鹿衔草,幸,味道为
假紫菟,甜,味道为
桑叶,苦,味道为
薄荷,辛,味道为
地骨皮,苦,味道为
沙参,甜,味道为
梔子,苦,味道为
紫菟,甜,味道为
荆芥,辣,味道为
瓜篓,甜,味道为
果上叶,甜,味道为
蜘蛛香,辣,味道为
鱼鳏串,苦,味道为
虎耳草,甜,味道为
小远志,苦,味道为
厚朴,苦,味道为
铁筷子,辣,味道为
麻黄,辣,味道为
八爪金龙,苦,味道为
陈皮,苦,味道为
牛毛毡,苦,味道为
徐长卿,辣,味道为
阎王刺,苦,味道为
菊花,苦,味道为
忍冬藤,甜,味道为
白马骨,甜,味道为
头晕药,辣,味道为
生姜,辣,味道为
葱,涩,味道为
四块瓦,辣,味道为
辣蓼,苦,味道为
黄荆条,苦,味道为
防风,苦,味道为
鱼輙串,苦,味道为
葛根,甜,味道为
水螟蚣,辣,味道为
马鞭草,苦,味道为
野菊花,苦,味道为
贯众,苦,味道为
兔儿风,苦,味道为
桑白皮,甜,味道为
银杏,涩,味道为
炙枇杷叶,苦,味道为
白芥子,苦,味道为
旋覆花,苦,味道为
胆南星,苦,味道为
党参,甜,味道为
干姜,辛,味道为
细辛,辣,味道为
鸡失藤,甜,味道为
百合,甜,味道为
桃仁,苦,味道为
紫蒐,甜,味道为
白薇,苦,味道为
山药,甜,味道为
小蓟,苦,味道为
大蓟,甜,味道为
野油菜,辣,味道为
仙鹤草,苦,味道为
旱莲草,酸,味道为
白茅根,甜,味道为
夏枯草,苦,味道为
连钱草,苦,味道为
芦根,甜,味道为
银花,甜,味道为
连翘,苦,味道为
竹叶,淡,味道为
三匹风,苦,味道为
白及,苦,味道为
水三七,苦,味道为
岩豆工豆,苦,味道为
阳雀花根,甜,味道为
鳖甲,甜,味道为
茵仁米,甜,味道为
桂枝,甜,味道为
血人参,涩,味道为
扁豆,涩,味道为
柴胡,涩,味道为
棉花根,苦,味道为
茜草,酸,味道为
桑甚,甜,味道为
黄精,甜,味道为
三枝茶,苦,味道为
地米参,苦,味道为
何首乌,甜,味道为
吴萸,辣,味道为
八角莲根,苦,味道为
五香血藤,苦,味道为
香附,辛,味道为
苦楝,苦,味道为
乌药,辛,味道为
地苦胆,苦,味道为
三颗针,苦,味道为
红藤,苦,味道为
半枝莲,苦,味道为
律草花,苦,味道为
败酱草,苦,味道为
紫花地丁,苦,味道为
白毛夏枯草,苦,味道为
茂仁米,甜,味道为
见血飞,苦,味道为
千里光,辣,味道为
水冬瓜根皮,辛,味道为
苦芥头,酸,味道为
养菜,甜,味道为
马蹄金,苦,味道为
土大黄,苦,味道为
鸡蛋壳,苦,味道为
青藤香,苦,味道为
隔山消,苦,味道为
水黄连,苦,味道为
穿心莲,苦,味道为
乌药煎水,辛,味道为
黄苗,辛,味道为
良姜,辛,味道为
路路通,苦,味道为
委陵菜,苦,味道为
苦养头,酸,味道为
地榆,酸,味道为
石菖蒲,辣,味道为
土三七,苦,味道为
蕾香,辛,味道为
红花,辛,味道为
一支黄花,苦,味道为
皂角刺,辛,味道为
黄芷,辛,味道为
香樟根,辛,味道为
山乌龟,辛,味道为
青木香,课,味道为
太子参,甜,味道为
花椒,辣,味道为
木香,苦,味道为
马齿苑,酸,味道为
刺梨根,酸,味道为
石榴皮,苦,味道为
红糖,苦,味道为
大蒜,苦,味道为
白酒,苦,味道为
白糖,苦,味道为
粟壳,苦,味道为
骚羊古,辣,味道为
山楂,甜,味道为
麦芽,甜,味道为
水葵花,甜,味道为
竹茹,甜,味道为
三棱,苦,味道为
莪术,苦,味道为
小种三七,苦,味道为
七叶莲,苦,味道为
赤芍,苦,味道为
阳雀花,甜,味道为
土鳖虫,辣,味道为
糯米团,淡,味道为
生姜汁,淡,味道为
黄连,淡,味道为
土人参,甜,味道为
石斛,甜,味道为
龙胆草,苦,味道为
山枝茶,苦,味道为
卷柏,苦,味道为
蒲黄,淡,味道为
紫珠草,苦,味道为
栀子,苦,味道为
铁扫帚,苦,味道为
玉竹,甜,味道为
肉桂,甜,味道为
生石膏,甜,味道为
鸡内金,甜,味道为
九香虫,辣,味道为
香樟,辣,味道为
柿蒂,辣,味道为
刀豆壳,辣,味道为
泡参,辣,味道为
九龙盘,辣,味道为
槐花,辣,味道为
黄柏,苦,味道为
三七,苦,味道为
荆芥穗,辣,味道为
地苍,淡,味道为
蚊母草,苦,味道为
臭牡丹,苦,味道为
大黄粉,苦,味道为
郁李仁,辛,味道为
莺尾,苦,味道为
天冬,甜,味道为
麻油,,味道为
火麻仁,甜,味道为
茵陈,苦,味道为
车前草,甜,味道为
金钱草,苦,味道为
牛筋树,苦,味道为
钓鱼杆,苦,味道为
阴行草,苦,味道为
拂猴桃根,酸,味道为
冬葵子,苦,味道为
地耳草,苦,味道为
木瓜,酸,味道为
田基黄,酸,味道为
商陆,酸,味道为
鸭屁股,苦,味道为
四季红,酸,味道为
海金沙,苦,味道为
黑丑,苦,味道为
白丑,苦,味道为
六月雪,淡,味道为
丹参,淡,味道为
半边莲,辣,味道为
穿破石,淡,味道为
杏叶沙参,甜,味道为
淫羊蕾,甜,味道为
菟丝子,甜,味道为
刀豆子,甜,味道为
野蔷薇果,甜,味道为
天葵子,涩,味道为
