from_name,to_name,name
肺家热症咳嗽,清热,treatment
肺家热症咳嗽,润肺,treatment
肺家热症咳嗽,止咳,treatment
肺家热症咳嗽,化痰,treatment
肺家寒毒咳嗽,疏风,treatment
肺家寒毒咳嗽,散寒,treatment
肺家寒毒咳嗽,润肺,treatment
肺家寒毒咳嗽,止咳,treatment
肺家风鮮热毒咳嗽,疏风,treatment
肺家风鮮热毒咳嗽,散热,treatment
肺家风鮮热毒咳嗽,清热,treatment
肺家风鮮热毒咳嗽,解毒,treatment
肺家风鮮热毒咳嗽,祛痰,treatment
肺家风鮮热毒咳嗽,止咳,treatment
肺家痰湿寒毒咳嗽,祛痰,treatment
肺家痰湿寒毒咳嗽,止咳,treatment
肺家痰湿寒毒咳嗽,解表,treatment
肺家痰湿寒毒咳嗽,散寒,treatment
肺家痰湿寒毒咳嗽,除湿,treatment
肺家痰湿寒毒咳嗽,解毒,treatment
热经热毒咳嗽,疏风,treatment
热经热毒咳嗽,宣肺,treatment
热经热毒咳嗽,止咳,treatment
冷病内损咳嗷,活血,treatment
冷病内损咳嗷,化瘀,treatment
冷病内损咳嗷,清肺,treatment
冷病内损咳嗷,止咳,treatment
冷经风来咳漱,解表,treatment
冷经风来咳漱,散寒,treatment
冷经风来咳漱,清肺,treatment
冷经风来咳漱,止咳,treatment
热经风热咳嗽,疏风,treatment
热经风热咳嗽,宣肺,treatment
热经风热咳嗽,止咳,treatment
冷痞风寒感胃,辛温,treatment
冷痞风寒感胃,解表,treatment
冷痞风寒感胃,宣肺,treatment
冷痞风寒感胃,止咳,treatment
热经风热感冒,清热,treatment
热经风热感冒,润肺,treatment
热经风热感冒,清肺,treatment
热经风热感冒,化痰,treatment
冷病寒喘,宣肺,treatment
冷病寒喘,平喘,treatment
冷病寒喘,温胃,treatment
冷病寒喘,散寒,treatment
痰湿咳喘,宣肺,treatment
痰湿咳喘,平喘,treatment
痰湿咳喘,止咳,treatment
气虚欢喘,宣肺,treatment
气虚欢喘,平喘,treatment
气虚欢喘,补气,treatment
气虚欢喘,养血,treatment
热经风热咳血,清热,treatment
热经风热咳血,润肺,treatment
热经风热咳血,凉血,treatment
热经风热咳血,止血,treatment
热经热毒咳血,清肺,treatment
热经热毒咳血,止咳,treatment
热经热毒咳血,凉血,treatment
热经热毒咳血,止血,treatment
气亏虚劳,补气,treatment
气亏虚劳,养血,treatment
气亏虚劳,养阴,treatment
气亏虚劳,益气,treatment
血亏虚夢,补气,treatment
血亏虚夢,养血,treatment
血亏虚夢,滋肝,treatment
血亏虚夢,补肾,treatment
胸痛,理气,treatment
胸痛,通络,treatment
胸痛,镇痛,treatment
肺痈初起,清热,treatment
肺痈初起,解毒,treatment
肺痈初起,活血,treatment
肺痈初起,化瘀,treatment
肺痈初起,止咳,treatment
肺痈、肺肿,清热,treatment
肺痈、肺肿,解毒,treatment
肺痈、肺肿,行瘀,treatment
肺痈、肺肿,消肿,treatment
肺痈成脓,排脓,treatment
肺痈成脓,解毒,treatment
肺痈成脓,清热,treatment
肺痈成脓,止咳,treatment
热经胄痛,清热,treatment
热经胄痛,和胃,treatment
热经胄痛,消食,treatment
热经胄痛,化积,treatment
冷经胃痛,健脾,treatment
冷经胃痛,和胃,treatment
冷经胃痛,消食,treatment
冷经胃痛,化积,treatment
大肠热疾,疏肝,treatment
大肠热疾,行气,treatment
大肠热疾,清热,treatment
大肠热疾,利湿,treatment
大肠热疾,止痛,treatment
早期肠痛,清热,treatment
早期肠痛,解毒,treatment
早期肠痛,消炎,treatment
早期肠痛,止痛,treatment
晩期肠痛,行气,treatment
晩期肠痛,排毒,treatment
晩期肠痛,活血,treatment
晩期肠痛,化瘀,treatment
热经腹痛,清热,treatment
热经腹痛,除湿,treatment
热经腹痛,止痛,treatment
冷经腹痛,散寒,treatment
冷经腹痛,止痛,treatment
热经腹泻,清热,treatment
热经腹泻,利湿,treatment
热经腹泻,收敛,treatment
热经腹泻,止泻,treatment
冷经腹泻,补益,treatment
冷经腹泻,止泻,treatment
冷经俗象,消食,treatment
冷经俗象,化积,treatment
冷经俗象,温胃,treatment
冷经俗象,散寒,treatment
冷经俗象,健脾,treatment
冷经俗象,补中,treatment
热经俗象,消食,treatment
热经俗象,化滞,treatment
热经俗象,理气 ,treatment
热经俗象,和胃,treatment
热经俗象,养心,treatment
热经俗象,安神,treatment
热病呕吐,和胃,treatment
热病呕吐,止呕,treatment
冷痔呕吐,益气,treatment
冷痔呕吐,降逆,treatment
冷痔呕吐,止呕,treatment
热经煜热吐血,清胃,treatment
热经煜热吐血,泻火,treatment
热经煜热吐血,凉血,treatment
热经煜热吐血,止血,treatment
热经热毒吐血,清热,treatment
热经热毒吐血,和胃,treatment
热经热毒吐血,清肝,treatment
热经热毒吐血,泻火,treatment
热经热毒吐血,止血,treatment
热经吐酸水,疏肝,treatment
热经吐酸水,和胃,treatment
热经吐酸水,消食,treatment
热经吐酸水,化积,treatment
冷病吐酸水,温胃,treatment
冷病吐酸水,散寒,treatment
冷病吐酸水,健脾,treatment
冷病吐酸水,和胃,treatment
热经打隔,清热,treatment
热经打隔,顺气,treatment
热经打隔,降逆,treatment
冷经打隔,温中,treatment
冷经打隔,养胃,treatment
冷经打隔,降逆,treatment
冷经便血,祛寒,treatment
冷经便血,温中,treatment
冷经便血,健脾,treatment
冷经便血,和胃,treatment
热经便血,清热,treatment
热经便血,利湿,treatment
热经便血,凉血,treatment
热经便血,止血,treatment
热经便秘,清热,treatment
热经便秘,理气,treatment
热经便秘,通便,treatment
冷经气血两亏便秘,养血,treatment
冷经气血两亏便秘,温气,treatment
冷经气血两亏便秘,补中,treatment
冷经气血两亏便秘,通便,treatment
热经黄疸,清热,treatment
热经黄疸,利湿,treatment
热经黄疸,退黄,treatment
冷经簧疸,利湿,treatment
冷经簧疸,和胃,treatment
冷经簧疸,退黄,treatment
热经水朦病,行气,treatment
热经水朦病,化瘀,treatment
热经水朦病,利水,treatment
冷经水朦病,攻下,treatment
冷经水朦病,利水,treatment
冷经气虚痛肾,补气,treatment
冷经气虚痛肾,养血,treatment
冷经气虚痛肾,利水,treatment
冷经气虚痛肾,消肿,treatment
热经风热痛肾,疏风,treatment
热经风热痛肾,解表,treatment
热经风热痛肾,利水,treatment
热经风热痛肾,消肿,treatment
热经风热痛肾,疏风,treatment
热经风热痛肾,解表,treatment
热经风热痛肾,利水,treatment
热经风热痛肾,消肿,treatment
热经湿热痛肾,清热,treatment
热经湿热痛肾,利湿,treatment
热经湿热痛肾,通利,treatment
热经湿热痛肾,小便,treatment
热经尿路瘪痛,清热,treatment
热经尿路瘪痛,利湿,treatment
热经尿路瘪痛,消炎,treatment
热经尿路瘪痛,止痛,treatment
冷经尿路疼痛,滋肝,treatment
冷经尿路疼痛,补肾,treatment
冷经尿路疼痛,行气,treatment
冷经尿路疼痛,止痛,treatment
热经尿血,清热,treatment
热经尿血,降火,treatment
热经尿血,凉血,treatment
热经尿血,止血,treatment
冷经尿血,补虚,treatment
冷经尿血,固涩,treatment
遗尿,补肾,treatment
遗尿,固涩,treatment
热经小便困难,清热,treatment
热经小便困难,解毒,treatment
热经小便困难,通利,treatment
热经小便困难,小便,treatment
冷经小便国碓,温中,treatment
冷经小便国碓,散寒,treatment
冷经小便国碓,补肾,treatment
冷经小便国碓,通利,treatment
冷经小便国碓,小便,treatment
尿甜症,清热,treatment
尿甜症,止渴,treatment
尿甜症,清胃,treatment
尿甜症,止渴,treatment
冷病水湿瘟疾,清热,treatment
冷病水湿瘟疾,除烦,treatment
冷病水湿瘟疾,利水,treatment
冷病水湿瘟疾,渗湿,treatment
热病水湿瘟蒙,清热,treatment
热病水湿瘟蒙,利湿,treatment
热病水湿瘟蒙,利 水,treatment
热病水湿瘟蒙,渗湿,treatment
热经水肿,利湿,treatment
热经水肿,行水,treatment
冷病气血两虚水肿,清热,treatment
冷病气血两虚水肿,解毒,treatment
冷病气血两虚水肿,行水,treatment
热病血虚心慌,清热,treatment
热病血虚心慌,除烦,treatment
热病血虚心慌,养心,treatment
热病血虚心慌,安神,treatment
冷病气血两虚心慌,补气,treatment
冷病气血两虚心慌,养血,treatment
冷病气血两虚心慌,养心,treatment
冷病气血两虚心慌,安神,treatment
冷经头痛,去风,treatment
冷经头痛,止痛,treatment
冷经头痛,温通,treatment
冷经头痛,散寒,treatment
热经头痛,温通,treatment
热经头痛,散寒,treatment
热经头痛,止痛,treatment
偏头痛,祛风,treatment
偏头痛,止痛,treatment
偏头痛,行气,treatment
偏头痛,活血,treatment
前额头痛,养阴,treatment
前额头痛,扶阳,treatment
前额头痛,行气,treatment
前额头痛,止痛,treatment
热经头昏目眩庭,滋阴,treatment
热经头昏目眩庭,降火,treatment
热经头昏目眩庭,滋肝,treatment
热经头昏目眩庭,补肾,treatment
冷经血虚目眩症,滋阴,treatment
冷经血虚目眩症,降火,treatment
冷经血虚目眩症,滋肝,treatment
冷经血虚目眩症,补肾,treatment
冷经气虚头备目眩建,祛风,treatment
冷经气虚头备目眩建,化痰,treatment
冷经气虚头备目眩建,补气,treatment
冷经气虚头备目眩建,养血,treatment
冷经華庭,补气,treatment
冷经華庭,养血,treatment
冷经華庭,养心,treatment
冷经華庭,安神,treatment
热经晕症,清热,treatment
热经晕症,化痰,treatment
热銓胁痛,理气,treatment
热銓胁痛,止痛,treatment
冷经胁痛,活血,treatment
冷经胁痛,化瘀,treatment
冷经胁痛,理气,treatment
冷经胁痛,止痛,treatment
冷病血虚健忘,滋补,treatment
冷病血虚健忘,肝肾,treatment
冷病血虚健忘,养心,treatment
冷病血虚健忘,安神,treatment
热病心血受损健忘,清热,treatment
热病心血受损健忘,养心,treatment
热病心血受损健忘,安神,treatment
热经忧郁,理气,treatment
热经忧郁,泻火,treatment
热经忧郁,开郁,treatment
冷经忧郁,宁心,treatment
冷经忧郁,安神,treatment
多睡病,健脾,treatment
多睡病,益气,treatment
多睡病,扶阳,treatment
热经失瞩,疏肝,treatment
热经失瞩,泻火,treatment
热经失瞩,养血,treatment
热经失瞩,益气,treatment
热经失瞩,安神,treatment
冷经失眠,益气,treatment
冷经失眠,养血,treatment
冷经失眠,安神,treatment
抖症,祛风,treatment
抖症,通络,treatment
抖症,祛风,treatment
抖症,疏经,treatment
热经中邪,清热,treatment
热经中邪,除烦,treatment
热经中邪,滋阴,treatment
热经中邪,生津,treatment
冷病中邪,补气,treatment
