from_name,to_name,name
百部,冷药,type
白花蛇舌草,两经药,type
蒲公英,冷药,type
金银花,冷药,type
白花前胡,冷药,type
十大功劳,冷药,type
折耳根,两经药,type
矮地茶,冷药,type
瓜萎,热药,type
射干,冷药,type
麦冬,热药,type
前胡,冷药,type
一朵云,冷药,type
牛莠子,冷药,type
鹅不食草,冷药,type
枇杷叶,冷药,type
杏仁,冷药,type
苏叶,热药,type
木姜子,热药,type
制半夏,热药,type
紫莞,热药,type
紫苏,热药,type
桔梗,冷药,type
茯苓,热药,type
苕叶细辛,热药,type
石韦,冷药,type
蜂蜜,热药,type
岩白菜,热药,type
鱼腥草,热药,type
刺桑,冷药,type
紫背天葵,冷药,type
酢酱草,冷药,type
山紫菟,热药,type
白芍,冷药,type
鹿衔草,热药,type
假紫菟,热药,type
桑叶,冷药,type
薄荷,热药,type
地骨皮,冷药,type
沙参,冷药,type
梔子,冷药,type
紫菟,热药,type
荆芥,热药,type
瓜篓,热药,type
果上叶,热药,type
蜘蛛香,热药,type
鱼鳏串,冷药,type
虎耳草,热药,type
小远志,冷药,type
厚朴,热药,type
铁筷子,热药,type
麻黄,热药,type
八爪金龙,冷药,type
陈皮,冷药,type
牛毛毡,冷药,type
徐长卿,热药,type
阎王刺,冷药,type
菊花,冷药,type
忍冬藤,热药,type
白马骨,两经药,type
头晕药,热药,type
生姜,热药,type
葱,热药,type
四块瓦,热药,type
辣蓼,冷药,type
黄荆条,冷药,type
防风,冷药,type
鱼輙串,冷药,type
葛根,热药,type
水螟蚣,热药,type
马鞭草,冷药,type
野菊花,冷药,type
贯众,冷药,type
兔儿风,冷药,type
桑白皮,热药,type
银杏,冷药,type
炙枇杷叶,冷药,type
白芥子,冷药,type
旋覆花,冷药,type
胆南星,冷药,type
党参,热药,type
干姜,热药,type
细辛,热药,type
鸡失藤,热药,type
百合,热药,type
桃仁,冷药,type
紫蒐,热药,type
白薇,冷药,type
山药,热药,type
小蓟,冷药,type
大蓟,热药,type
野油菜,热药,type
仙鹤草,冷药,type
旱莲草,热药,type
白茅根,热药,type
夏枯草,冷药,type
连钱草,冷药,type
芦根,热药,type
银花,热药,type
连翘,冷药,type
竹叶,冷药,type
三匹风,冷药,type
白及,冷药,type
水三七,冷药,type
岩豆工豆,冷药,type
阳雀花根,热药,type
鳖甲,热药,type
茵仁米,两经药,type
桂枝,两经药,type
血人参,热药,type
扁豆,热药,type
柴胡,热药,type
棉花根,冷药,type
茜草,热药,type
桑甚,热药,type
黄精,热药,type
三枝茶,热药,type
地米参,热药,type
何首乌,热药,type
吴萸,热药,type
八角莲根,冷药,type
五香血藤,冷药,type
香附,热药,type
苦楝,冷药,type
乌药,热药,type
地苦胆,冷药,type
三颗针,冷药,type
红藤,冷药,type
半枝莲,冷药,type
律草花,冷药,type
败酱草,冷药,type
紫花地丁,冷药,type
白毛夏枯草,冷药,type
茂仁米,两经药,type
见血飞,冷药,type
千里光,热药,type
水冬瓜根皮,热药,type
苦芥头,冷药,type
养菜,热药,type
马蹄金,冷药,type
土大黄,冷药,type
鸡蛋壳,冷药,type
青藤香,冷药,type
隔山消,冷药,type
水黄连,冷药,type
穿心莲,冷药,type
乌药煎水,热药,type
黄苗,热药,type
良姜,热药,type
路路通,冷药,type
委陵菜,冷药,type
苦养头,冷药,type
地榆,冷药,type
石菖蒲,热药,type
土三七,冷药,type
蕾香,热药,type
红花,热药,type
