id,illness,symptom,belong
0,热经头昏目眩症,天昏地转，发怒，尿黄，,热经热病
1,冷病血虚目眩症,"头昏目眩，面色苍白,",冷经冷病
2,冷经气虚头昏目眩症,"视物转动，少气懒言,",冷经冷病
3,热经中邪,"高烧大汗四肢抽搐,",热经热病
4,冷病中邪,"气短，缩手缩脚，神志恍惚,",热病中邪
5,燥火损伤肺气,"烦躁不安，高烧不退,",热经热病
6,燥火损伤肠胃,发烧、口渴,热经热病
7,燥火燥湿,,冷热并病
8,半边经,"半边肢体麻木，行走一侧不便，口语不清,",半边经证
9,偏头痛,一侧头痛，怕冷，怕风，,冷经冷病
10,抖症,"全身发抖不能自制,",热经热病
11,热病血虚心慌,心慌气急，面部发红，口干，,热经热病心慌
12,冷病气血两虚心慌,"心慌，面色苍白，四肢冷,",冷经冷病
13,肺家寒毒咳嗽,"咳嗽，痰清稀,有泡沫，怕冷，",冷经冷病
14,肺家风邪热毒咳嗽,咳嗽痰稠，发烧，怕风，,热经热病
15,肺家痰湿寒毒咳嗽,咳嗽，痰多，色白，,冷经冷病
16,热经耳鸣·耳聋,耳鸣、耳聋，面红、口苦、痰黄,热经热病
17,冷经耳鸣·耳聋,从耳鸣到失去听力，声音低沉,冷病
18,肠漏,,冷经冷病肠漏
19,热经脐带溃烂（Baix daib qub mak ghab不独秋木嘎）,脐烂，发烧,热经热病
20,热病脐流血（Bak duf iol hxangd部独洛象）,"发烧，脐部流血,",热经热病
21,热病脐部流水（Buk duk dlax部独酒）,红肿热痛,热经热病
22,冷经脐带突出（Buk duk hvib部独希）,脐部反复突出,冷经冷病
23,气虚出汗,出汗，怕风，怕冷,冷经冷病
24,血虚出汗,"自行出汗，面色苍白，小便清长,",冷经冷病
25,虚热出汗,"半夜出汗,脸潮红，",冷经虚热出汗
26,热毒出汗,发热汗出，面红，口苦,热经出汗
27,热经湿热吐血,吐血，腹痛，口干,热经热病
28,热经尿血,"尿血,尿道热辣刺痛，",热经尿血
29,冷经尿血,"尿血，短气无力，四肢冷,",冷经尿血
30,热经风热青紫血斑,"青紫血斑,起病急，发烧，",热经热病
31,热经血热青紫血斑,"高烧不退,",热经热病
