id,illness,sound,alias,effect
0,热经头昏目眩症,khangd vut hvent baix dul,汗吾窝摆都,滋阴降火
1,热经头昏目眩症,khand vat sand bud diuf,汗吾汕布丢,滋肝补肾
2,冷病血虚目眩症,khangd vut hvent baix dul,汗吾窝摆都,滋阴降火
3,冷病血虚目眩症,khand vat sand bud diuf,汗吾汕布丢,滋肝补肾
4,冷经气虚头昏目眩症,as jent jul ghad ngol,滇劫阶哈格,祛风化痰
5,冷经气虚头昏目眩症,bud hongt yis hxangd,布笨怡象,补气养血
6,热经中邪,baix bongt vex hxangd,摆笨维象,清热除邪
7,热经中邪,khangd vut hvent qeb jiand,汗吾渥曲靳,滋阴生津
8,冷病中邪,bud hongt yis hxangd,布笨怡象,补气养血
9,冷病中邪,khangd vut hvent,汗吾窝,滋阴
10,燥火损伤肺气,khangd vut hvent baix dul,汗吾窝摆都,滋阴降火
11,燥火损伤肺气,qeb jind dangf ngas ghongd,曲靳挡嘎侯,生津止渴
12,燥火损伤肠胃,khangd vut hvent baix dul,汗吾窝摆都,滋阴降火
13,燥火损伤肠胃,bud hongt yis hxangd,布苯怡象,补气养血
14,燥火燥湿,maix diangl maix ves hxed dionb,麦靓麦韦芳荷桐,健脾补中
15,燥火燥湿,yis hvent xongt fangb dab,怡渥雄访达,养阴扶阳
16,半边经,Khangd vut hvent baix dul,汗吾窝摆都,滋阴降火
17,半边经,dias jeet yul ghad ngol,滇劫阶哈格,祛风化痰
18,半边经,langf dangf,宕挡,镇静
19,半边经,dins vangx diongk,停网亭,安神
20,偏头痛,dias jent dangf mongd,滇劫挡蒙,祛风止痛
21,偏头痛,hangb bongt vex hxangd,沅笨维象,行气活血
22,抖症,dias jent scix loud,滇劫赊洛,祛风通络
23,抖症,dias jent pot wos jenb,滇劫迫喔经,祛风疏经
24,热病血虚心慌,hxub hxab kib caf mongd,旭嘎凯滁穆,清热除烦
25,热病血虚心慌,dangf dliud di- us vangx diongk,挡疏停网亭,养心安神
26,冷病气血两虚心慌,bud hongt yis hxangd,布笨怡象,补气养血
27,冷病气血两虚心慌,dangf dliud dins vangx diongk,挡疏停网亭,养心安神
28,肺家热证咳嗽,hxub hxab kib rek hfad nais pob,旭嘎凯奈波,清热润肺
29,肺家热证咳嗽,dangf ngol dias ghab ngal,挡苟滇哈格,止咳化痰
30,肺家寒毒咳嗽,pot wos jent zangl seil,迫喔劫漳射,疏风散寒
31,肺家寒毒咳嗽,red hfad nais pot dangf ngol,任复奈波挡苟,润肺止咳
32,肺家风邪热毒咳嗽,pot wos jent zangt zei,迫喔劫漳止,疏风散热
33,肺家风邪热毒咳嗽,hxub hxab kib tad jab,旭嘎凯沓痂,清热解毒
34,肺家风邪热毒咳嗽,dias ghab ngal dangf ngol,滇哈格挡苟,祛痰止咳
35,肺家痰湿寒毒咳嗽,dias ghab ngal dangf ngol,滇哈格挡苟,祛痰止咳
36,肺家痰湿寒毒咳嗽,tad biaox zangl seil,沓标漳射,解表散寒
37,肺家痰湿寒毒咳嗽,caf net tad jab,滁内沓痂,除湿解毒
38,热经耳鸣·耳聋,hxub hxab kib caf moud,旭嘎凯滁穆,清热除烦
39,热经耳鸣·耳聋,dangf dliud dius vangx diongk,挡疏停网亭,养心安神
40,冷经耳鸣·耳聋,bud hongt yis hxangd,布笨怡象,补气养血
41,冷经耳鸣·耳聋,dangf dliud dius vangx diongk,挡疏停网亭,养心安神
42,肠漏,khand vat sand bud diuf,汗吾汕布丢,滋肝补肾
43,肠漏,yis hvent bud bongt,怡渥布苯,养阴益气
44,热经脐带溃烂（Baix daib qub mak ghab不独秋木嘎）,hxub hxab kib tad jab,旭嘎凯沓痂,清热解毒
45,热经脐带溃烂（Baix daib qub mak ghab不独秋木嘎）,yank kib dangf mongb,泱向挡蒙,消炎止痛
46,热病脐流血（Bak duf iol hxangd部独洛象）,hxub hxab kib tad jab,旭嘎凯沓痂,清热解毒
47,热病脐流血（Bak duf iol hxangd部独洛象）,senb hxangd dangf hxangd,赊象挡象,凉血止血
48,热病脐部流水（Buk duk dlax部独酒）,hxub hxab kib tad jab,旭嘎凯沓痂,清热解毒
49,热病脐部流水（Buk duk dlax部独酒）,yank kib dangf mongb,泱向挡蒙,消炎止痛
50,冷经脐带突出（Buk duk hvib部独希）,mangk jangk,莽将,莽将
51,冷经脐带突出（Buk duk hvib部独希）,,,外治压脐或用硬币压在脐部包扎
52,气虚出汗,bud hongt yis hxangd,布苯怡象,补气养血
53,气虚出汗,maix diangl maix ves sul qub,麦靓麦韦素迄,健脾和胃
54,血虚出汗,bud bongt yis hxent,布笨怡渥,补气养阴
55,血虚出汗,khangd vut qub qeb jind,汗吾迄曲靳,益胃生津
56,虚热出汗,khangd vut hvent baix dul,汗吾窝摆都,滋阴降火
57,虚热出汗,Bud hongt yis hxangd,布苯怡象,补气养血
58,热毒出汗,khangd vut hvent baix dul,汗吾窝摆都,滋阴降火
59,热毒出汗,yis hvent bud bongt,怡渥布笨,养阴益气
60,热经湿热吐血,sul qud baix dul,素迄摆都,清胃泻火
61,热经湿热吐血,senb hxangd dangf hxangd,赊象挡象,凉血止血
62,热经热毒吐血,hxub hxab kib sul qud,旭嘎凯素迄,清热和胃
63,热经热毒吐血,hxub hxab sand baix dul,旭嘎汕渣都,清肝泻火
64,热经热毒吐血,dangf hxangd,挡象,止血
65,冷经气虚紫斑,bub bongt dangf hxangd,布笨挡象,益气止血
66,冷经血虚紫斑,khangd vut hvent baix dul,汗吾渥摆都,滋阴降火
67,冷经血虚紫斑,jul jab dlaib dangf hxangd,阶加丢挡象,化斑止血
68,热经火旺紫斑,hxub hxab kib tad jab,旭嘎凯沓痂,清热解毒
69,热经火旺紫斑,senb hxangd hangb diod hxangd,赊象抵象,凉血化瘀
70,热经尿血,hxub hxab kib baix dul,旭嘎凯摆都,清热降火
71,热经尿血,senb hxangd dangf hxangd,赊象挡象,凉血止血
72,冷经尿血,bud xub dsangb got lol,布西参戈洛,补虚固涩
73,热经风热青紫血斑,hxub hxab kib caf net,旭嘎凯滁内,祛风清热
74,热经风热青紫血斑,senb hxangd dangf hxangd,赊象挡象,凉血止血
75,热经血热青紫血斑,,,清热凉血
76,热经血热青紫血斑,,,止血
77,热经血热青紫血斑,hxub hxab kib tad jab,旭嘎凯沓痂,清热解毒
78,热经血热青紫血斑,senb hxangd dangf hxangd,赊象挡象,凉血止血
79,冷经气虚青紫血斑,,,补气摄血
80,冷经气虚青紫血斑,Bud hongt yis hxangd,布笨怡象,补气养血
81,冷经气虚青紫血斑,ves hxangd yangx diod hxangd,维角烽丢象,活血化瘀
82,冷经血虚青紫血斑,khangd vut hvent baix dul,汗吾窝摆都,滋阴降火
83,冷经血虚青紫血斑,senb hxangd dangf hxangd,赊象挡象,凉血止血
84,血虚健忘,khad vat sand bud diuf,汗吾汕布丢,滋补肝肾
85,血虚健忘,bud hongt dins vangx diongk,宕挡停网亭,养心安神
86,热经心血受损健忘,,,清热
87,热经心血受损健忘,,,养心
88,热经心血受损健忘,,,安神
89,热经湿热吐血,sul qud baix dul,素迄摆都,清胃泻火
90,热经湿热吐血,senb hxangd dangf hxangd,赊象挡象,凉血止血
91,热经热毒吐血,hxub hxab kib sul qud,旭嘎凯素迄,清热和胃
92,热经热毒吐血,hxub hxab sand baix dul,旭嘎汕渣都,清肝泻火
93,热经热毒吐血,dangf hxangd,挡象,止血
94,热经胃热牙出血,sul qud baix dul,素迄摆都,清胃泻火
95,热经胃热牙出血,senb hxangd dangf hxangd,赊象挡象,凉血止血
96,冷经血虚牙出血,k hangd vut hvent baix dul,汗吾窝摆都,滋阴降火
97,冷经血虚牙出血,senb hxangd dangf hxangd,赊象挡象,凉血止血
98,热病小肚血瘀,ves hxangd yangx diod hxangd,维角烽丢象,活血化瘀
99,热病小肚血瘀,tit bongt dangf mongb,替笨挡蒙,理气止痛
100,热病血瘀成脓,hxub hxab kib tad jab,旭嘎凯沓痂,清热解毒
101,热病血瘀成脓,ves hxangd yan- gx diod hxangd,维象洋丢象,活血化瘀
102,冷病瘀阻经络,ves hxangd yangx diod hxangd,维象烽丢象,活血化瘀
103,冷病瘀阻经络,seix loud dangf mongb,赊洛挡蒙,通络止痛
104,冷病瘀阻血脉,ves hxangd yangx diod hxangd,维象律丢象,活血化瘀
105,冷病瘀阻血脉,bxeb seix zangl seil,荷筛漳赊,温通散寒
106,冷病血脉瘀阻,sul hxangl seix loud,素象赊洛,活血通经
107,冷病血脉瘀阻,zang diod hxangb dangf mongf,漳丢象挡蒙,散瘀止痛
108,冷病气虚血瘀,ves hxangd yangx diod hxangd,维象律丢象,活血化瘀
109,冷病气虚血瘀,bxeb seix zangl seil,荷筛漳赊,温通散寒
110,茵笨洛象冷经内伤便血,maix dliangl maix ves nait,麦靓麦韦芳,健脾
111,茵笨洛象冷经内伤便血,kxed dionb,荷桐,温中
112,茵笨洛象冷经内伤便血,,,止血
113,茵笨洛象冷经内伤便血,hxub hxab kid caf net,旭嘎凯滁内,祛热除毒
114,茵笨洛象冷经内伤便血,,,收敛止血
115,茵笨洛象冷经内伤便血,hxub hxab kib senb hxangd,旭嘎凯赊象,清热凉血
116,茵笨洛象冷经内伤便血,bud bongt yis hxangd,布笨益象,补气养血
117,茵笨洛象冷经内伤便血,baix dul dangf hxangd,布都挡象,止血
118,布兜凯迷洛象胃热牙出血,hxub hxab vas ghab qub,旭嘎洼布兜,清胃
119,布兜凯迷洛象胃热牙出血,dlax kib,拉凯,泻火
120,布兜凯迷洛象胃热牙出血,hxub hxab kib tad jab,旭嘎凯沓痂,清热解毒
121,布兜凯迷洛象胃热牙出血,senb hxangd dangf hxangb,赊象挡象,凉血止血
122,呼勒普凯芮洛象肺热出鼻血,,,清肺止血
123,呼勒普凯芮洛象肺热出鼻血,hub hxab hfad nais pobdangd hxangd,旭嘎呼勒普挡象,清肺止血
124,呼勒普凯芮洛象肺热出鼻血,senb hxangd dangf hxangd,赊象挡象,凉血止血
125,呼勒普凯芮洛象肺热出鼻血,hxub hxub kib caf net,旭嘎凯滁内,清热除湿
126,呼勒普凯芮洛象肺热出鼻血,senb hxangd vex hxangd,赊象维象,凉血活血
127,呼勒普凯芮洛象肺热出鼻血,hxub hxab kib baix dul,呼勒炯,呼勒炯
128,呼勒普凯芮洛象肺热出鼻血,,旭嘎凯摆都,清肝泻火
129,呼勒普凯芮洛象肺热出鼻血,senb hxangd dangf hxangd,赊象挡象,凉血止血
130,凯洛沃洛象热毒咳血,hxub hxab kib rek hfad nais pob,旭嘎凯任复奈波,清热润肺
131,凯洛沃洛象热毒咳血,Senb hxangd dangf hxangd,赊象挡象,凉血止血
132,凯洛沃洛象热毒咳血,hxub hxab kib rek hfad nais pob,旭嘎凯任复奈波,清热润肺
133,凯洛沃洛象热毒咳血,senb hxangd vex hxangd,赊象维象,凉血活血
134,凯洛沃洛象热毒咳血,baix dul hfud nais kid,摆都呼勒凯,清肝火
135,凯洛沃洛象热毒咳血,hxub hxab kid ghab qub dangfhxangd,旭嘎凯布兜挡象,清胃热止血
136,红丝疔,hxub hxab kib tad jab,旭嘎凯沓痂,清热解毒
137,红丝疔,senb hxangd vex hxangd,赊象维象,凉血活血
138,热经风热鼻出血,hxub hxab kib tad jab,旭嘎凯沓痂,清热解毒
139,热经风热鼻出血,senb hxangd dangf hxangd,赊象挡象,凉血止血
140,热经鼻出血,hxub hxab kib tad jab,旭嘎凯沓痂,清热解毒
141,热经鼻出血,senb hxangd vex hxangd,赊象维象,凉血活血
142,热经腹泻,hxub hxab kib caf net,旭嘎凯滁内,清热利湿
143,热经腹泻,quk liand dangf zal,苣敛扎嘎,收敛止泻
144,冷经腹泻,bud bongt dangf,布笨挡扎,补益止泻
145,热经水肿,tad jab vas eb,沓痂洼沃,利湿行水
146,冷病气血两虚水肿,vas obcaf net,洼沃除内,利水渗湿
147,冷病气血两虚水肿,vas eb,洼沃,行水
148,皮肤痈子,hxub hxab kib tad jab,旭嘎凯沓痂,清热解毒
149,皮肤痒疹,hxub hxub kib caf net,旭嘎凯滁内,清热除湿
150,皮肤痒疹,dias jent dangf qut qat,滇劫挡祛卡,祛风止痒
151,肩周炎,veshxia scix loud,维洗赊洛,舒经通洛
152,肩周炎,dias jent caf net,滇劫滁内,祛风除湿
153,冷病风寒感冒,zenb hxed tad biaox,真稀沓标,辛温解表
154,冷病风寒感冒,xeeb hfad nais pob dangf ngol,卸复奈波挡苟,宣肺止咳
155,热经风热感冒,hxub hxab kib rek hfad nais pob,旭嘎凯任复奈波,清热润肺
156,热经风热感冒,hxed hfad pot nais jul ngol,荷呼勒阶哈格,清肺化痰
157,热经烂喉痧,senb hxangd tad biaox,赊象沓标,凉血解表
158,热经烂喉痧,hxub hxab kib vas ngangl,旭嘎凯洼嘎,清热利咽
159,热毒泛血烂喉痧,senb hxangd tad biaox,赊象沓标,凉血解表
160,热毒泛血烂喉痧,hxub hxab kib vas ngangl,旭嘎凯洼嘎,清热利咽
161,白斑病,pot wos jent zangl zet,迫渥劫漳壮,疏散风热
162,白斑病,vex hxangd rek dud,维象任杜,活血润肤
163,风邪疙瘩,hxub hxab kib tad jab,旭嘎凯沓痂,清热解毒
164,冷经风湿性关节炎,dias jent dangf mongd,滇劫挡蒙,祛风止痛
165,冷经风湿性关节炎,seix loud dangf mongb,赊洛挡蒙,通络止痛
166,热经风湿性关节炎,hxub hxab kib caf net,旭嘎凯滁内,清热利湿
167,热经风湿性关节炎,veshxia scix loud,维洗赊洛,舒经通络
168,热经风湿性关节炎,dias jent dangf mongd,滇劫挡蒙,祛风止痛
169,冷经风寒咳嗽,tad biaox zangl seil,沓标漳射,解表散寒
170,冷经风寒咳嗽,xeeb hfud nais pob- dangf ngol,卸复奈波挡苟,清肺止咳
171,热经风热咳嗽,pot wos jent zangl zet,迫渥劫漳止,疏散风热
172,热经风热咳嗽,xeeb hfad nais pob dangf ngol,卸复奈波挡苟,宣肺止咳
173,兰蛇缠腰,hxub hxab kib caf net,旭嘎凯滁内,清热利湿
174,兰蛇缠腰,dangf mongd,挡蒙,止痛
175,兰蛇挂膀,hxub hxab kib tad jab,旭嘎凯沓痂,清热解毒
176,兰蛇挂膀,vas eb dangf qut qat,洼内挡祛卡,利湿止痒
177,兰蛇钻心,hxub hxab kib tad jab,旭嘎凯沓痂,清热解毒
178,兰蛇钻心,yank kib dangf mongb,泱疳挡蒙,消炎止痛
179,流眼泪,pot wos jent tad biaox,迫渥劫沓标,疏风解表
180,流眼泪,khand vat sand bub,汗吾汕补丢,补肝补肾
181,热湿互结类风湿,hxub hxab kib caf net,旭嘎凯滁内,清热利湿
182,热湿互结类风湿,dias jent dangf mongd,滇劫挡蒙,祛风止痛
183,热经气滞血瘀类风湿,dias jent caf net,滇劫滁内,祛风除湿
184,热经气滞血瘀类风湿,Veshxia scix loud,维洗赊洛,舒经通络
185,热经气滞血瘀类风湿,hangb bongt dangf mongd,沆笨挡蒙,行气止痛
186,冷经寒湿阻滞类风湿,,,攻补兼施
187,风毒蒙冲净,pat wos jent caf net,迫渥劫滁内,疏风祛湿
188,风毒蒙冲净,hangb bongt dangf mongd,沆笨挡蒙,行气止痛
189,寒毒蒙冲净,,,散寒燥湿
190,寒毒蒙冲净,veshxia scix loud,维洗赊洛,舒经通络
191,寒毒蒙冲净,dias jent dangf mongd,滇劫挡蒙,法风止痛
192,水湿蒙冲净,dias jent caf net,滇劫滁内,祛风除湿
193,水湿蒙冲净,zangl seil dangf mongb,漳射挡蒙,散寒止痛
194,血虚蒙冲净,dias jent caf net,滇劫滁内,祛风除湿
195,血虚蒙冲净,bud hongt yis hxangd,布苯怡象,补气养血
196,冷经支气管炎,xeeb hfad nais pob dangf xangt,卸复奈波曲靳,宣肺平喘
197,冷经支气管炎,dangf ngol dangf xangt,挡沃挡靳,止咳平喘
198,热经支气管炎,hxub hxab kib rek hfad nais pob,旭嘎凯任复奈波,清热润肺
199,热经支气管炎,dangl ngol dangf xangt,挡苟挡靳,止咳平喘
200,热经腹痛,hxub hxab kib caf net,旭嘎凯滁内,清热除湿
201,热经腹痛,dongf mongb,挡蒙,止痛
202,冷经腹痛,zangl seil dongf mongb,漳射挡象,散寒止痛
203,热经湿疹,hxub hxab kib caf net,旭嘎凯滁内,清热利湿
204,热经湿疹,Dias jent dangf qut qat,滇劫挡祛卡,祛风止痒
205,冷经湿疹,dias jent caf net,滇劫滁内,祛风除湿
206,冷经湿疹,vex hxangd rek dud,维象任杜,活血润肤
207,面部湿疹,hxub hxub kib caf net,旭嘎凯滁内,清热除湿
208,面部湿疹,dias jent dangf qut qat,滇劫挡祛卡,祛风止痒
209,面部湿疹,senb hxangd,渗象,凉血
210,冷经晕症,bud hongt yis hxangd,布笨怡象,补气养血
211,冷经晕症,dangf dliud dins vangx diongk,挡琉停网亭,养心安神
212,热经晕症,hxub hxab kib dias dias ghab ngal,旭嘎凯滇哈格,清热化痰
213,冷病水湿瘟疾,hxub hxub kib caf moud,旭嘎凯滁穆,清热除烦
214,冷病水湿瘟疾,vas eb caf net,洼沃滁内,利水渗湿
215,热病水湿瘟疾,hxub hxab kib caf net,旭嘎凯滁内,清热利湿
216,热病水湿瘟疾,vas eb caf net,洼沃除内,利水渗湿
217,热经尿路疼痛,hxub hxab kib caf net,旭嘎凯滁内,清热利湿
218,热经尿路疼痛,yank kib dangf mongb,泱扃挡蒙,消炎止痛
219,冷经尿路疼痛,khand vat sand bud diuf,汗吾汕布丢,滋肝补肾
220,冷经尿路疼痛,hangb bongt dangf mongd,沆笨挡蒙,行气止痛
221,阴囊湿疹,caf net tad jab,滁内沓痂,除湿解毒
222,阴囊湿疹,dib gangb dangf qut qat,抵港挡祛卡,杀虫止痒
