id,name,speciality,taste,medicine type,passing,have,effect
0,僵蚕,,,,,,祛风、镇静、安神
1,制南星,,,,,,通络止痉
2,全蝎,,,,,,祛风、除湿、活血、 通络活络
3,白附子,,,,,,祛风、除湿
4,gangh nangb jonb岗郎炯（地龙）,热,咸,热药,冷经、快经,,hxub hxab kib旭嘎凯（清热）、tab ngangl沓斡（定惊）
5,gangb kub岗叩（螟蚣）,热,辛,热药,冷经,毒,langf dangf宕挡（镇痉）、dias jent滇劫（祛风）、tad jab沓痂（解毒）
6,jab laox liaod佳力略（钩藤）,冷,甜,冷药,热经、哑经,,ves sand维汕（平肝）、pot wos jent迫喔劫（熄风）
7,gangb kub岗叩（螟蚣）,热,辛,热药,冷经,毒,langf dangf宕挡（镇痉）、dias jent滇劫（祛风）、tad jab沓痂（解毒）
8,全虫,,,,,,活血、化瘀、驱风、除湿
9,制胆南星,,,,,,清心热
10,jab laox liaod佳力略（钩藤）,热,微甜,热药,冷经,,hxub hxad kid旭嘎凯（清热）、止痛
11,Gangb kuk岗叩（螟蚣）,热,辛,热药,冷经,毒,dias jent滇劫（祛风）
12,防风,,,,,,驱风
13,菌麻,,,,,,驱风除邪、扶正
14,zangd jangx珍姜（木姜子）,热,辛,热药,冷经,,温通散寒、顺气止咳
15,gangb kub岗叩（螟蚣）,热,辛,热药,冷经,毒,dias jent滇劫（祛风）、t&d jab沓痂（解毒）
16,jab ghab ngenx佳嘎旅（生扯拢）,冷,苦,冷药,热经,,dias jent caf net滇劫滁内（祛风除湿）、seix loud dangf mongb赊洛挡蒙（通洛止痛）
17,jab hxend yat佳生幼（常春藤）,冷,苦,冷药,热经,,dias jent tad jab滇劫沓痂（祛风解毒）、ves hxangd dangf hxangd维象挡象（活血止血）、yangk angt dangf mongb泱安挡蒙（消肿止痛）
18,jab laox liaod佳力略（钩藤）,热,微甜,热药,冷经、哑经,,hxub hxad kid旭嘎凯（清热）、ves sand维汕（平肝）、pot wos jent迫喔劫（熄风）
19,nangx hsongb mil仰松迷（灯心草）,平,淡、微甜,两经药,,,d&n・ gt dliud挡疏（清心火）
20,jab laox li&od佳力略（钩藤）,冷,甜,冷药,热经、哑经,,ves sand维汕（平肝）、pot wos jent迫喔劫（熄风）
21,gangb ninl岗岭（水蛭）,冷,咸、苦,冷药,热经,,vas hxangd yangx维象洋（破血）seix loud赊洛（通经）、diod hxangd丢象（散瘀）
22,Gangb kuk岗叩（螟蚣）,热,辛,热药,冷经,毒,dias jent滇劫（祛风）
23,vob dliangb dlik hniub嘎恨萬相学（牛莠子）,冷,苦,冷药,热经,,pot wos jent zangl zet迫喔劫漳止（疏散风热）
24,vuf jil nif雅尖莲（八角莲）,冷,苦,冷药,热经,,dias ghab ngol zahgl zent滇哈格漳沾（化痰散结）、dias ghab ngol dangt ngol滇哈格挡苟（祛痰止咳）、hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）
